1,14,20,25,32,45,18
1,2,17,23,27,33,7
2,5,19,21,30,36,12
2,20,26,33,39,43,38
5,11,26,32,34,37,25
15,21,26,28,35,37,43
9,10,12,13,31,36,14
3,9,15,17,28,29,45
7,11,15,21,33,40,45
6,13,23,26,27,39,3
14,16,18,26,30,43,24
4,14,17,18,19,23,44
4,6,11,16,38,44,28
6,16,17,29,38,39,36
7,9,15,17,28,36,11
1,15,19,21,28,32,16
19,28,29,31,33,40,15
2,3,11,13,19,28,37
7,10,11,16,30,31,44
5,8,10,28,32,38,20
5,8,12,32,39,43,37
5,15,18,32,39,41,16
24,25,27,28,34,40,26
11,14,26,27,35,45,32
1,12,17,25,33,36,31
9,14,27,37,41,42,36
3,11,13,24,38,45,22
9,36,37,39,40,41,12
5,6,17,19,36,43,2
6,7,11,16,32,35,25
3,7,14,18,26,42,30
2,4,8,27,29,45,11
15,16,22,32,41,44,21
9,18,24,28,39,44,1
1,8,15,16,26,45,25
6,16,18,30,35,42,4
4,9,12,20,23,26,43
1,8,20,23,26,40,35
13,15,23,30,31,35,41
3,4,25,26,28,42,33
16,21,23,24,30,35,32
5,8,11,13,16,44,40
5,13,16,38,40,44,45
2,13,26,30,35,45,23
12,15,21,26,33,40,34
4,15,21,30,31,44,36
2,4,8,15,20,24,34
14,15,25,27,30,40,11
17,22,28,33,37,40,43
10,14,16,19,23,44,4
7,11,15,17,19,38,26
19,30,32,35,38,43,2
16,21,24,31,39,44,33
2,3,29,38,41,42,27
4,23,24,29,38,41,34
2,13,16,18,41,44,19
1,26,31,32,35,36,45
25,31,35,38,42,44,18
2,3,6,21,28,39,42
2,4,9,22,29,43,26
8,17,27,36,37,43,30
5,16,20,37,41,42,34
2,5,6,19,34,43,18
14,18,20,23,38,43,41
9,11,12,27,29,35,13
1,11,12,16,26,43,30
1,17,22,24,33,41,2
6,18,24,30,34,36,42
2,29,30,32,36,44,22
2,4,12,16,26,28,24
1,12,14,23,27,43,22
13,15,29,39,43,45,2
3,12,16,18,24,43,11
2,3,19,40,42,43,4
21,24,30,32,39,40,2
7,11,22,26,29,42,12
1,3,9,13,24,36,23
5,7,9,11,19,40,43
7,14,19,34,37,40,15
11,13,17,21,28,43,1
5,16,19,23,25,26,3
3,13,15,23,28,38,10
12,13,21,25,35,37,22
5,9,10,11,14,21,1
4,15,31,35,37,45,39
3,4,9,13,21,24,41
1,8,11,26,33,35,28
3,10,19,28,29,34,33
7,10,23,32,38,43,8
4,8,12,13,32,45,28
3,9,10,15,19,45,25
15,23,25,26,35,39,14
20,30,35,36,41,43,38
12,27,30,35,38,39,7
10,16,21,23,32,35,34
1,13,14,15,17,29,32
1,12,23,29,32,36,9
12,16,23,38,39,44,20
