Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Viking
2021-12-29;01;15;21;22;29;48;3
2021-12-22;06;9;31;35;46;47;3
2021-12-15;03;7;23;31;42;44;5
2021-12-08;01;5;15;25;30;31;3
2021-12-01;11;14;25;35;39;46;2
2021-11-24;02;22;32;36;38;41;2
2021-11-17;17;20;27;28;43;45;5
2021-11-10;20;24;27;30;37;38;2
2021-11-03;02;8;18;20;40;43;4
2021-10-27;09;11;16;29;35;39;4
2021-10-20;16;23;31;35;38;42;3
2021-10-13;02;15;20;30;36;46;2
2021-10-06;06;13;27;34;39;48;3
2021-09-29;01;2;13;26;32;42;3
2021-09-22;19;21;29;36;44;48;5
2021-09-15;06;12;22;23;24;35;2
2021-09-08;01;14;25;28;38;43;1
2021-09-01;06;7;13;18;19;23;5
2021-08-25;03;15;20;25;29;36;4
2021-08-18;10;15;28;39;44;46;1
2021-08-11;29;30;31;36;39;44;5
2021-08-04;08;10;35;37;38;42;4
2021-07-28;15;21;25;32;34;39;4
2021-07-21;02;11;12;23;26;43;5
2021-07-14;03;9;14;16;20;45;1
2021-07-07;02;5;42;44;46;47;5
2021-06-30;07;32;33;36;37;39;2
2021-06-23;09;16;29;31;33;39;1
2021-06-16;07;11;18;21;34;35;4
2021-06-09;03;15;25;33;34;39;1
2021-06-02;01;4;18;26;30;34;6
2021-05-26;01;6;18;19;35;43;7
2021-05-19;08;11;12;16;18;33;8
2021-05-12;11;17;20;24;44;46;3
2021-05-05;11;14;19;26;28;30;2
2021-04-28;10;18;30;31;37;42;1
2021-04-21;07;8;14;22;32;34;4
2021-04-14;08;12;20;25;26;34;1
2021-04-07;11;12;14;15;27;39;8
2021-03-31;04;16;30;35;41;46;3
2021-03-24;08;19;23;35;37;44;4
2021-03-17;02;9;10;20;24;28;5
2021-03-10;01;15;27;40;43;47;4
2021-03-03;16;19;28;31;38;43;7
2021-02-24;04;27;31;35;40;43;8
2021-02-17;15;19;24;29;35;38;3
2021-02-10;15;17;21;27;29;48;2
2021-02-03;02;7;11;33;44;45;8
2021-01-27;17;20;24;25;37;44;2
2021-01-20;11;14;20;38;39;40;4
2021-01-13;03;14;35;44;45;47;6
2021-01-06;03;5;14;22;32;41;1
