Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2025-01-05;4;13;16;18;21;23;24;33;41;42;46;47;50;52;54;55;57;63;66;70
2025-01-04;2;6;7;15;16;20;22;23;30;39;42;44;46;49;54;57;61;64;65;67
2025-01-03;2;8;9;15;16;17;22;25;26;29;37;44;46;48;50;57;62;64;67;69
2025-01-02;6;8;12;14;18;20;21;23;24;25;30;33;37;43;44;46;48;58;61;66
2025-01-01;2;9;14;17;24;30;35;36;40;41;44;48;51;53;54;57;66;67;68;70
