Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2015-12-29;5;20;31;32;36;6;7
2015-12-25;3;10;25;27;40;3;9
2015-12-22;18;19;20;40;41;7;10
2015-12-18;6;22;26;29;48;5;6
2015-12-15;8;11;23;27;35;4;11
2015-12-11;3;5;21;40;43;6;11
2015-12-08;12;17;29;38;48;9;11
2015-12-04;8;17;18;27;39;1;7
2015-12-01;2;15;25;35;45;8;10
2015-11-27;16;29;30;37;50;6;8
2015-11-24;9;14;16;17;26;10;11
2015-11-20;4;30;34;46;49;7;8
2015-11-17;6;7;23;37;38;10;11
2015-11-13;10;17;18;33;40;2;8
2015-11-10;6;13;18;39;43;2;8
2015-11-06;3;17;26;38;40;4;10
2015-11-03;8;27;39;46;49;2;6
2015-10-30;8;13;17;21;34;6;7
2015-10-27;11;12;20;25;36;6;9
2015-10-23;7;25;30;32;39;2;8
2015-10-20;17;19;21;30;45;8;10
2015-10-16;7;28;29;43;48;3;10
2015-10-13;12;15;26;29;47;3;11
2015-10-09;1;40;42;43;47;9;11
2015-10-06;11;20;22;29;32;1;8
2015-10-02;7;18;21;32;35;2;11
2015-09-29;11;14;26;29;49;3;9
2015-09-25;13;14;23;30;37;2;8
2015-09-22;14;23;26;27;29;7;10
2015-09-18;7;29;33;34;39;7;8
2015-09-15;8;15;17;44;49;5;8
2015-09-11;10;18;19;29;50;1;9
2015-09-08;14;16;39;40;42;1;4
2015-09-04;8;9;27;45;50;8;10
2015-09-01;6;19;21;27;45;1;8
2015-08-28;11;29;30;31;34;4;7
2015-08-25;27;31;33;42;50;2;5
2015-08-21;4;16;18;43;47;6;10
2015-08-18;7;10;11;12;19;2;9
2015-08-14;4;7;39;44;45;3;5
2015-08-11;2;3;8;15;16;4;11
2015-08-07;1;5;21;39;44;4;11
2015-08-04;10;15;39;45;50;9;10
2015-07-31;16;21;34;40;50;6;9
2015-07-28;23;32;36;43;49;7;8
2015-07-24;2;9;21;35;46;2;11
2015-07-21;14;20;27;29;44;7;10
2015-07-17;1;21;22;43;48;7;9
2015-07-14;6;18;19;34;36;1;8
2015-07-10;5;8;15;35;41;4;5
2015-07-07;6;7;18;33;41;3;10
2015-07-03;11;12;15;18;44;3;9
2015-06-30;11;15;28;34;37;1;8
2015-06-26;3;6;10;19;24;5;7
2015-06-23;4;16;22;38;49;6;9
2015-06-19;7;14;20;31;42;3;9
2015-06-16;10;15;16;36;37;3;9
2015-06-12;5;8;10;11;37;7;9
2015-06-09;5;9;17;32;34;6;8
2015-06-05;2;7;8;45;48;1;9
2015-06-02;7;23;29;37;41;1;8
2015-05-29;3;4;20;45;48;6;8
2015-05-26;5;6;7;21;24;5;6
2015-05-22;18;24;35;44;45;5;11
2015-05-19;26;30;31;35;37;8;11
2015-05-15;5;35;42;44;47;8;9
2015-05-12;14;29;30;40;46;3;6
2015-05-08;7;14;19;47;49;3;10
2015-05-05;1;10;17;20;42;8;9
2015-05-01;3;19;20;25;26;6;10
2015-04-28;24;26;28;36;45;7;10
2015-04-24;5;19;29;31;40;3;10
2015-04-21;6;14;17;42;45;1;8
2015-04-17;2;24;30;34;39;8;11
2015-04-14;24;32;34;35;49;1;2
2015-04-10;22;23;25;30;43;5;9
2015-04-07;18;25;39;44;50;5;8
2015-04-03;27;29;37;39;49;2;4
2015-03-31;8;20;24;28;49;8;9
2015-03-27;2;30;32;39;44;6;10
2015-03-24;10;24;26;39;40;3;10
2015-03-20;3;14;37;42;48;1;10
2015-03-17;11;23;26;38;44;1;8
2015-03-13;4;5;18;22;23;1;3
2015-03-10;2;6;23;30;31;2;10
2015-03-06;23;30;47;49;50;2;7
2015-03-03;6;8;11;13;21;7;8
2015-02-27;5;14;17;25;47;9;10
2015-02-24;3;25;28;34;50;1;11
2015-02-20;4;10;14;37;46;4;7
2015-02-17;2;5;18;30;43;1;10
2015-02-13;12;24;39;42;44;3;11
2015-02-10;13;17;20;30;45;9;10
2015-02-06;10;26;30;39;50;7;8
2015-02-03;17;31;33;44;50;7;11
2015-01-30;9;13;15;19;24;3;8
2015-01-27;5;10;31;33;40;8;10
2015-01-23;6;29;30;38;45;1;8
2015-01-20;15;33;41;44;47;8;10
2015-01-16;29;30;32;34;46;3;6
2015-01-13;8;17;21;31;34;9;10
2015-01-09;6;21;24;32;45;1;11
2015-01-06;14;20;30;38;49;3;4
2015-01-02;22;24;25;28;49;3;6
