Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2012-12-28;17;24;26;27;49;3;5
2012-12-25;14;18;20;23;32;3;10
2012-12-21;3;5;22;40;42;3;10
2012-12-18;14;18;20;35;44;2;5
2012-12-14;10;11;29;40;43;3;11
2012-12-11;1;4;9;43;50;6;8
2012-12-07;10;16;18;31;42;2;5
2012-12-04;5;10;28;29;44;2;4
2012-11-30;10;18;23;24;40;3;4
2012-11-27;6;10;23;44;49;1;7
2012-11-23;1;9;11;20;40;1;5
2012-11-20;28;30;42;45;49;5;10
2012-11-16;10;15;19;23;41;2;9
2012-11-13;11;16;21;24;29;2;6
2012-11-09;14;21;22;28;47;4;5
2012-11-06;7;20;25;35;41;1;9
2012-11-02;3;6;10;11;44;3;4
2012-10-30;23;24;25;31;44;2;3
2012-10-26;5;6;9;27;38;5;11
2012-10-23;1;28;35;38;50;2;10
2012-10-19;16;29;37;40;44;8;10
2012-10-16;10;32;40;41;49;2;8
2012-10-12;6;7;17;35;43;2;8
2012-10-09;2;8;10;23;25;8;9
2012-10-05;9;16;18;19;21;2;3
2012-10-02;4;16;21;36;42;7;8
2012-09-28;20;23;26;30;33;6;9
2012-09-25;7;25;27;48;49;1;4
2012-09-21;4;19;34;41;43;7;11
2012-09-18;6;7;38;39;44;7;9
2012-09-14;3;10;23;27;44;7;9
2012-09-11;6;15;22;37;44;2;4
2012-09-07;13;15;30;35;42;4;6
2012-09-04;11;17;18;39;44;5;10
2012-08-31;16;28;31;33;48;7;11
2012-08-28;1;18;25;26;44;4;5
2012-08-24;5;6;12;19;37;3;7
2012-08-21;4;5;17;38;48;3;4
2012-08-17;19;25;28;33;44;2;8
2012-08-14;1;16;38;42;45;9;10
2012-08-10;11;17;21;48;50;9;10
2012-08-07;20;27;34;46;50;2;3
2012-08-03;24;34;35;42;46;1;5
2012-07-31;4;29;35;36;39;8;9
2012-07-27;14;15;21;23;48;2;10
2012-07-24;4;16;18;25;44;1;11
2012-07-20;10;19;23;45;49;9;10
2012-07-17;2;7;24;43;46;8;10
2012-07-13;8;18;25;35;46;4;9
2012-07-10;1;3;16;24;37;1;8
2012-07-06;31;32;38;40;42;1;3
2012-07-03;2;7;22;27;40;3;6
2012-06-29;14;17;28;29;39;1;11
2012-06-26;1;11;20;22;35;8;10
2012-06-22;14;18;19;43;49;3;7
2012-06-19;7;17;20;35;50;5;11
2012-06-15;10;22;27;38;48;3;7
2012-06-12;8;15;26;30;48;9;10
2012-06-08;5;11;22;34;40;9;11
2012-06-05;13;34;37;47;49;8;9
2012-06-01;2;4;14;26;36;9;10
2012-05-29;8;15;17;25;28;3;11
2012-05-25;12;22;35;46;49;2;8
2012-05-22;16;31;32;37;41;1;7
2012-05-18;13;29;43;47;50;9;11
2012-05-15;2;11;13;26;50;2;5
2012-05-11;1;13;17;38;44;2;11
2012-05-08;3;21;34;38;48;5;8
2012-05-04;3;26;39;40;41;1;2
2012-05-01;4;5;15;19;41;9;11
2012-04-27;20;27;30;36;43;1;6
2012-04-24;8;9;24;43;48;3;5
2012-04-20;3;6;29;32;41;10;11
2012-04-17;10;28;33;48;49;1;10
2012-04-13;8;13;26;39;43;3;5
2012-04-10;22;25;27;36;37;5;9
2012-04-06;11;20;30;35;45;2;3
2012-04-03;1;8;18;25;30;9;10
2012-03-30;4;17;23;36;46;6;10
2012-03-27;24;27;29;34;36;7;8
2012-03-23;9;15;23;31;50;8;11
2012-03-20;15;16;28;30;46;3;4
2012-03-16;3;4;12;23;50;4;7
2012-03-13;1;10;25;43;47;8;9
2012-03-09;3;32;36;39;47;6;9
2012-03-06;23;24;27;37;47;2;6
2012-03-02;5;6;11;30;44;2;6
2012-02-28;1;10;17;33;48;2;3
2012-02-24;3;7;12;26;34;8;10
2012-02-21;11;14;24;25;29;7;11
2012-02-17;4;11;28;38;47;10;11
2012-02-14;14;27;36;42;46;8;11
2012-02-10;3;8;14;31;41;7;11
2012-02-07;3;15;17;28;33;2;4
2012-02-03;16;19;20;25;28;1;10
2012-01-31;9;34;38;43;45;2;4
2012-01-27;10;13;19;39;44;2;6
2012-01-24;1;2;6;20;36;8;11
2012-01-20;2;10;22;27;28;6;8
2012-01-17;12;22;30;31;44;5;6
2012-01-13;13;14;21;27;39;6;8
2012-01-10;4;9;10;30;40;2;9
2012-01-06;1;6;10;12;31;2;7
2012-01-03;3;30;42;45;49;5;10
