Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2018-12-28;13;16;34;35;45;10;12
2018-12-25;4;5;8;31;43;2;9
2018-12-21;2;12;15;34;50;3;4
2018-12-18;1;9;18;39;48;5;7
2018-12-14;12;29;38;42;44;2;12
2018-12-11;4;7;13;23;42;1;3
2018-12-07;11;17;26;37;48;1;10
2018-12-04;19;20;21;42;45;8;9
2018-11-30;3;10;12;23;26;1;12
2018-11-27;4;16;17;18;32;2;11
2018-11-23;5;8;25;26;30;3;10
2018-11-20;6;19;39;45;48;7;12
2018-11-16;9;10;13;28;41;1;12
2018-11-13;2;7;10;13;42;3;6
2018-11-09;14;17;32;37;49;11;12
2018-11-06;14;24;36;40;43;2;9
2018-11-02;5;15;17;37;44;7;11
2018-10-30;17;23;27;43;44;1;12
2018-10-26;5;18;21;31;35;6;9
2018-10-23;1;2;5;21;32;2;12
2018-10-19;1;3;29;47;48;3;12
2018-10-16;15;28;37;40;42;1;6
2018-10-12;4;9;12;31;43;5;8
2018-10-09;3;12;36;44;45;8;11
2018-10-05;8;16;24;26;35;3;11
2018-10-02;7;17;29;37;45;3;11
2018-09-28;2;4;8;27;50;2;9
2018-09-25;6;15;20;30;38;4;7
2018-09-21;5;7;21;25;37;3;4
2018-09-18;3;8;10;32;45;4;12
2018-09-14;1;3;33;40;45;3;4
2018-09-11;9;18;32;38;46;2;3
2018-09-07;4;23;27;31;50;1;8
2018-09-04;5;14;28;30;47;4;11
2018-08-31;4;30;31;38;42;4;6
2018-08-28;4;16;32;42;46;8;12
2018-08-24;3;14;31;36;50;1;12
2018-08-21;16;23;42;43;49;10;12
2018-08-17;2;15;18;24;43;8;12
2018-08-14;1;15;18;25;31;9;11
2018-08-10;18;20;36;43;44;3;9
2018-08-07;16;28;29;30;36;8;10
2018-08-03;7;26;36;38;43;6;12
2018-07-31;20;25;34;42;45;6;11
2018-07-27;11;17;22;23;41;6;11
2018-07-24;2;4;23;39;40;3;9
2018-07-20;2;15;40;43;46;3;6
2018-07-17;4;6;27;48;50;1;11
2018-07-13;1;4;14;21;49;2;12
2018-07-10;3;8;26;33;45;7;10
2018-07-06;8;30;33;38;48;2;10
2018-07-03;1;12;15;29;48;3;5
2018-06-29;15;21;23;40;48;3;12
2018-06-26;15;16;20;34;50;4;7
2018-06-22;14;25;39;41;44;2;8
2018-06-19;7;19;26;42;50;4;9
2018-06-15;23;26;33;38;49;1;12
2018-06-12;7;21;23;36;38;6;8
2018-06-08;8;19;32;43;46;2;8
2018-06-05;9;15;22;39;46;4;5
2018-06-01;17;18;24;29;40;4;5
2018-05-29;6;11;20;38;43;2;4
2018-05-25;13;15;16;28;41;4;5
2018-05-22;1;11;37;41;48;8;12
2018-05-18;5;8;10;13;31;3;6
2018-05-15;4;16;20;31;39;2;12
2018-05-11;3;22;34;49;50;8;11
2018-05-08;17;25;35;39;44;2;5
2018-05-04;6;12;23;39;45;9;12
2018-05-01;6;15;17;42;48;4;6
2018-04-27;12;24;40;41;46;5;12
2018-04-24;20;23;28;30;44;3;7
2018-04-20;3;16;25;39;44;7;11
2018-04-17;15;27;33;39;50;4;6
2018-04-13;5;25;34;48;50;6;7
2018-04-10;14;27;39;46;48;11;12
2018-04-06;1;29;33;45;47;4;8
2018-04-03;3;8;16;40;43;5;8
2018-03-30;12;17;28;35;47;7;11
2018-03-27;17;20;23;40;46;9;10
2018-03-23;5;7;11;46;50;8;11
2018-03-20;26;29;37;39;44;9;11
2018-03-16;4;17;24;27;31;10;11
2018-03-13;9;11;13;33;49;6;12
2018-03-09;9;14;21;32;44;1;12
2018-03-06;15;20;26;31;44;2;9
2018-03-02;2;7;34;45;48;1;12
2018-02-27;3;31;41;48;50;8;11
2018-02-23;10;17;18;28;47;3;7
2018-02-20;6;14;19;25;29;5;11
2018-02-16;10;12;23;32;50;4;10
2018-02-13;10;13;17;21;44;1;10
2018-02-09;22;31;36;38;44;1;11
2018-02-06;8;17;28;34;38;6;12
2018-02-02;14;34;36;39;48;2;3
2018-01-30;11;15;21;27;35;4;5
2018-01-26;6;15;24;28;48;4;9
2018-01-23;5;8;9;23;24;7;8
2018-01-19;3;8;17;44;50;2;7
2018-01-16;20;23;31;34;46;3;12
2018-01-12;13;21;23;30;45;4;6
2018-01-09;6;12;15;38;49;2;9
2018-01-05;2;5;20;38;41;4;8
2018-01-02;10;20;21;28;48;1;8
