Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2020-12-29;7;32;39;40;45;3;8
2020-12-25;16;21;27;30;32;3;5
2020-12-22;2;10;16;42;50;4;11
2020-12-18;2;3;13;17;21;7;8
2020-12-15;9;13;21;29;35;1;2
2020-12-11;6;9;13;24;41;3;12
2020-12-08;1;4;21;24;46;2;12
2020-12-04;14;20;27;34;38;1;11
2020-12-01;14;20;29;47;49;4;12
2020-11-27;2;5;8;14;16;8;9
2020-11-24;25;33;38;42;50;8;12
2020-11-20;28;29;39;48;50;5;7
2020-11-17;16;19;25;30;44;2;6
2020-11-13;1;5;17;28;31;1;10
2020-11-10;3;19;29;32;38;5;12
2020-11-06;7;12;37;40;50;1;2
2020-11-03;5;7;18;20;30;6;7
2020-10-30;12;16;20;21;28;3;9
2020-10-27;13;15;28;32;44;3;12
2020-10-23;10;15;19;21;23;3;12
2020-10-20;5;6;15;37;42;3;4
2020-10-16;15;33;38;40;50;3;6
2020-10-13;5;14;38;41;46;1;10
2020-10-09;11;15;35;41;50;5;8
2020-10-06;4;21;36;41;47;9;11
2020-10-02;6;12;15;40;45;3;9
2020-09-29;4;14;16;41;44;11;12
2020-09-25;19;23;34;37;45;1;7
2020-09-22;16;25;28;39;40;1;6
2020-09-18;2;10;19;25;45;1;7
2020-09-15;16;20;25;30;38;6;8
2020-09-11;34;38;42;43;45;9;12
2020-09-08;2;9;31;35;41;9;12
2020-09-04;6;22;29;40;43;4;7
2020-09-01;4;8;10;33;46;8;11
2020-08-28;7;12;16;17;31;7;9
2020-08-25;7;18;30;37;39;8;10
2020-08-21;10;15;35;44;50;3;5
2020-08-18;6;12;17;34;42;5;12
2020-08-14;9;10;19;42;49;4;12
2020-08-11;8;13;14;42;50;3;9
2020-08-07;5;20;21;36;41;6;11
2020-08-04;1;2;5;15;42;5;8
2020-07-31;21;24;30;46;49;2;5
2020-07-28;9;13;15;17;34;2;7
2020-07-24;8;9;27;28;50;4;12
2020-07-21;14;15;24;29;42;2;4
2020-07-17;7;15;27;41;43;7;9
2020-07-14;11;22;30;37;47;9;10
2020-07-10;15;17;23;30;38;2;7
2020-07-07;12;16;23;33;41;8;10
2020-07-03;4;16;27;37;39;3;6
2020-06-30;1;6;11;28;42;2;10
2020-06-26;1;10;12;21;26;5;11
2020-06-23;2;12;19;46;49;1;8
2020-06-19;5;14;19;24;43;3;11
2020-06-16;4;9;11;17;39;2;10
2020-06-12;2;24;39;45;46;4;8
2020-06-09;5;15;27;36;46;2;8
2020-06-05;5;11;17;24;37;3;6
2020-06-02;10;12;22;26;49;7;11
2020-05-29;4;8;11;19;46;4;8
2020-05-26;4;9;14;21;27;4;6
2020-05-22;3;18;22;27;32;2;7
2020-05-19;5;25;32;37;43;6;7
2020-05-15;11;23;32;34;39;1;6
2020-05-12;9;16;29;37;39;4;11
2020-05-08;8;25;32;33;38;7;9
2020-05-05;2;10;22;27;41;2;3
2020-05-01;19;20;38;45;47;2;6
2020-04-28;15;23;26;28;32;1;5
2020-04-24;1;5;19;21;28;4;7
2020-04-21;10;11;14;23;28;6;8
2020-04-17;16;28;32;37;45;1;11
2020-04-14;6;29;34;35;40;4;11
2020-04-10;3;10;17;33;39;1;4
2020-04-07;4;5;14;33;48;7;12
2020-04-03;16;19;34;46;50;2;6
2020-03-31;12;17;24;30;36;1;9
2020-03-27;11;14;27;41;46;2;3
2020-03-24;7;12;26;30;33;10;11
2020-03-20;3;9;20;34;40;6;12
2020-03-17;5;7;8;16;20;2;12
2020-03-13;3;11;21;27;36;9;10
2020-03-10;11;23;30;37;43;5;12
2020-03-06;15;38;43;45;46;1;11
2020-03-03;4;14;27;44;45;1;10
2020-02-28;8;11;20;22;23;3;4
2020-02-25;1;4;18;27;42;4;6
2020-02-21;7;23;30;32;45;5;9
2020-02-18;11;32;34;38;47;2;10
2020-02-14;5;20;35;41;49;6;10
2020-02-11;24;26;32;43;46;6;10
2020-02-07;9;15;17;25;40;3;9
2020-02-04;21;23;33;35;47;6;7
2020-01-31;13;18;20;23;30;2;4
2020-01-28;1;19;27;31;38;4;5
2020-01-24;3;4;6;9;24;5;8
2020-01-21;10;11;24;36;46;3;5
2020-01-17;8;19;20;29;44;3;8
2020-01-14;21;25;29;39;44;8;9
2020-01-10;6;17;32;44;46;2;6
2020-01-07;5;8;12;37;43;6;11
2020-01-03;5;15;20;36;47;8;12
