Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2011-12-30;16;36;43;44;50;7;8
2011-12-27;19;21;25;26;44;3;7
2011-12-23;7;21;22;24;28;1;11
2011-12-20;1;9;12;14;48;1;7
2011-12-16;2;5;10;23;31;2;5
2011-12-13;7;12;18;33;37;1;11
2011-12-09;12;21;29;44;47;1;2
2011-12-06;19;20;21;34;38;3;9
2011-12-02;7;27;30;40;43;8;9
2011-11-29;11;25;41;45;50;2;7
2011-11-25;14;19;26;28;34;5;8
2011-11-22;16;18;24;38;40;2;4
2011-11-18;4;12;24;39;44;2;4
2011-11-15;6;17;22;45;47;3;11
2011-11-11;1;4;18;23;30;3;7
2011-11-08;1;4;15;29;40;1;5
2011-11-04;11;14;41;43;50;2;9
2011-11-01;14;20;23;45;46;1;11
2011-10-28;16;17;20;39;50;4;8
2011-10-25;12;22;27;28;39;4;10
2011-10-21;2;19;33;37;46;5;8
2011-10-18;18;23;37;46;48;2;10
2011-10-14;12;23;29;32;47;3;5
2011-10-11;1;4;12;16;48;9;10
2011-10-07;18;26;34;38;42;5;8
2011-10-04;14;16;23;38;45;8;11
2011-09-30;5;15;28;31;44;1;6
2011-09-27;18;27;28;35;40;3;5
2011-09-23;6;14;33;34;48;2;6
2011-09-20;9;19;25;36;38;7;11
2011-09-16;2;8;17;39;42;3;10
2011-09-13;9;28;30;32;49;9;10
2011-09-09;5;21;28;31;34;1;2
2011-09-06;35;42;47;48;50;8;9
2011-09-02;12;26;37;38;44;4;7
2011-08-30;2;8;10;19;46;5;9
2011-08-26;12;22;25;33;45;5;7
2011-08-23;4;6;14;42;50;2;4
2011-08-19;6;14;16;28;31;2;11
2011-08-16;1;13;17;18;45;3;8
2011-08-12;7;10;20;27;37;4;7
2011-08-09;7;23;24;34;36;8;11
2011-08-05;13;14;18;32;34;1;10
2011-08-02;5;8;14;24;33;3;8
2011-07-29;12;19;27;37;38;5;10
2011-07-26;1;5;22;25;48;3;11
2011-07-22;4;15;23;49;50;2;6
2011-07-19;3;16;25;26;35;5;9
2011-07-15;6;26;33;34;39;3;4
2011-07-12;17;19;38;42;45;9;10
2011-07-08;12;13;23;40;49;7;10
2011-07-05;11;28;29;47;49;1;5
2011-07-01;8;11;23;31;46;8;9
2011-06-28;15;16;30;44;50;2;3
2011-06-24;5;16;20;30;41;6;11
2011-06-21;17;20;35;49;50;3;4
2011-06-17;11;16;21;22;44;3;8
2011-06-14;5;12;19;41;48;8;10
2011-06-10;3;19;20;37;48;8;11
2011-06-07;6;25;36;38;40;4;10
2011-06-03;4;39;40;49;50;2;5
2011-05-31;1;9;10;22;50;5;11
2011-05-27;9;17;25;28;49;8;9
2011-05-24;16;23;24;26;29;2;9
2011-05-20;10;14;20;25;42;8;11
2011-05-17;20;21;37;45;46;2;3
2011-05-13;9;11;17;36;47;1;2
2011-05-10;3;10;15;28;45;5;7
2011-05-06;11;16;20;22;28;4;9
2011-04-29;15;25;38;40;41;1;2
2011-04-22;11;22;36;45;48;1;4
2011-04-15;4;6;21;39;41;2;6
2011-04-08;21;23;38;47;50;2;6
2011-04-01;4;17;21;22;33;4;8
2011-03-25;6;12;21;27;33;3;7
2011-03-18;1;13;20;26;50;6;7
2011-03-11;17;19;24;37;46;2;7
2011-03-04;11;25;27;28;41;5;8
2011-02-25;12;13;42;45;48;3;9
2011-02-18;2;3;15;45;49;5;9
2011-02-11;12;14;15;19;23;7;8
2011-02-04;2;11;24;35;47;5;9
2011-01-28;13;23;24;41;42;1;5
2011-01-21;3;11;13;18;21;4;5
2011-01-14;2;14;24;39;44;6;7
2011-01-07;1;22;32;48;50;6;7
