Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;DreamNumber
2023-12-28;5;11;15;21;24;39;5
2023-12-25;3;12;13;17;21;22;1
2023-12-21;3;15;17;23;26;29;4
2023-12-18;2;16;21;33;35;40;5
2023-12-14;3;8;9;22;27;33;1
2023-12-11;11;18;21;28;30;32;1
2023-12-07;1;3;5;10;32;38;5
2023-12-04;8;12;24;29;30;32;5
2023-11-30;2;14;15;27;36;37;5
2023-11-27;2;18;23;29;33;35;4
2023-11-23;4;15;22;23;28;35;4
2023-11-20;6;13;18;25;26;32;3
2023-11-16;5;11;13;18;25;27;5
2023-11-13;1;6;25;26;33;39;2
2023-11-09;14;16;19;31;32;37;2
2023-11-06;10;13;14;25;30;35;5
