Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2023-10-27;2;3;4;6;7;8;11;13;18;22;27;31;35;36;38;42;49;61;66;67
2023-10-26;2;11;13;16;18;21;23;27;29;32;33;34;38;40;42;43;45;50;53;65
2023-10-25;2;3;10;11;16;17;23;24;25;28;34;39;43;48;49;51;52;53;55;67
2023-10-24;4;13;16;24;28;31;33;34;35;40;46;49;50;51;55;58;65;67;68;70
2023-10-23;2;4;7;10;11;12;14;32;33;34;35;41;42;45;47;48;53;58;62;64
2023-10-22;5;7;10;12;14;16;23;24;32;34;37;41;43;47;49;55;60;64;65;67
2023-10-21;2;6;10;16;19;23;27;30;38;41;43;51;54;59;62;64;65;67;68;70
2023-10-20;3;4;5;7;9;10;15;16;19;22;40;48;49;53;54;55;56;60;64;69
2023-10-19;3;10;11;14;18;19;21;23;25;27;31;32;41;48;50;52;57;62;65;70
2023-10-18;3;4;12;25;29;31;36;37;40;43;45;48;50;51;55;59;64;65;66;69
2023-10-17;2;3;6;9;13;16;22;24;30;37;38;40;42;46;48;52;61;63;69;70
2023-10-16;3;5;6;13;15;21;24;26;28;31;32;37;44;45;48;49;54;58;60;69
2023-10-15;10;14;16;21;26;32;34;38;39;48;53;54;55;56;58;61;65;67;68;70
2023-10-14;12;13;19;25;26;31;32;33;36;40;41;45;46;47;48;50;51;64;65;66
2023-10-13;8;17;25;26;31;34;36;38;39;41;42;43;44;45;48;49;52;56;59;63
2023-10-12;9;13;14;15;16;25;26;33;35;37;38;41;46;48;51;59;61;65;66;69
2023-10-11;5;10;13;20;21;22;23;24;26;27;28;38;41;43;44;46;51;53;55;59
2023-10-10;1;3;9;10;18;35;37;39;41;42;43;44;49;53;57;60;65;67;69;70
2023-10-09;13;16;19;20;24;28;30;35;39;41;43;47;54;55;56;57;58;65;66;67
2023-10-08;2;7;14;16;19;25;28;32;39;42;43;44;47;52;58;61;62;65;67;70
2023-10-07;4;6;13;15;16;18;23;24;25;26;34;38;40;44;47;61;62;66;69;70
2023-10-06;2;6;9;14;18;27;29;32;38;41;42;43;48;50;54;57;58;62;65;69
2023-10-05;3;4;6;11;14;15;19;20;30;32;35;41;46;47;54;55;58;59;67;68
2023-10-04;1;3;8;11;13;17;19;20;31;32;46;48;53;54;55;56;60;64;66;67
2023-10-03;3;8;10;11;14;16;19;22;23;30;32;36;37;39;40;45;46;49;64;65
2023-10-02;1;7;8;16;17;18;19;26;30;36;39;45;46;48;49;54;55;59;63;69
2023-10-01;3;9;11;13;16;23;31;35;37;40;45;47;52;58;62;63;64;65;68;69
2023-09-30;8;10;12;13;17;19;28;30;31;34;39;40;41;54;55;57;62;65;66;70
2023-09-29;2;3;5;9;14;17;18;28;29;32;33;41;48;50;52;54;56;57;68;70
2023-09-28;3;5;6;11;13;14;18;20;21;25;35;37;45;49;54;56;60;63;66;69
2023-09-27;6;9;16;17;22;24;26;28;30;31;33;36;37;39;54;56;61;63;65;69
2023-09-26;5;7;13;16;24;30;31;37;39;43;46;50;53;55;56;57;58;59;68;70
2023-09-25;10;13;18;22;24;29;31;35;36;37;38;45;48;53;56;58;64;66;69;70
2023-09-24;2;3;5;10;17;19;28;31;33;37;42;46;53;54;57;61;63;65;66;69
