Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2019-12-31;26;31;33;41;48;2;4
2019-12-27;1;7;22;26;35;5;10
2019-12-24;3;11;13;14;47;3;6
2019-12-20;8;24;30;32;34;3;4
2019-12-17;1;7;12;25;49;6;9
2019-12-13;9;16;18;23;32;2;10
2019-12-10;2;10;19;21;47;2;8
2019-12-06;1;3;27;39;46;1;10
2019-12-03;18;31;32;38;48;4;12
2019-11-29;3;7;12;42;50;6;8
2019-11-26;2;3;15;19;34;5;8
2019-11-22;3;21;32;34;48;3;11
2019-11-19;8;10;15;30;42;4;6
2019-11-15;3;13;20;32;34;4;11
2019-11-12;1;21;23;25;39;2;4
2019-11-08;8;17;20;23;45;2;8
2019-11-05;9;14;25;33;48;2;12
2019-11-01;2;20;39;44;48;5;7
2019-10-29;16;18;28;42;49;5;10
2019-10-25;34;37;39;40;50;4;10
2019-10-22;2;5;32;33;47;7;8
2019-10-18;8;18;22;41;42;11;12
2019-10-15;3;28;31;32;34;4;5
2019-10-11;2;14;19;42;45;5;6
2019-10-08;7;10;15;44;49;3;12
2019-10-04;6;9;35;41;44;6;9
2019-10-01;2;11;18;40;46;1;4
2019-09-27;24;37;41;43;46;2;8
2019-09-24;2;33;42;47;48;1;2
2019-09-20;8;21;25;38;50;4;8
2019-09-17;22;37;43;44;45;1;12
2019-09-13;1;12;27;42;47;6;7
2019-09-10;3;22;25;30;49;3;6
2019-09-06;10;13;22;40;48;2;5
2019-09-03;7;11;38;39;44;7;10
2019-08-30;25;27;45;46;49;4;6
2019-08-27;8;26;35;43;47;1;9
2019-08-23;4;17;35;42;45;2;8
2019-08-20;20;22;23;24;37;1;4
2019-08-16;9;10;27;37;42;1;5
2019-08-13;13;29;31;33;40;2;3
2019-08-09;2;14;35;41;42;10;11
2019-08-06;12;13;29;36;38;4;12
2019-08-02;13;22;33;44;50;2;5
2019-07-30;15;20;23;27;40;3;6
2019-07-26;2;5;27;37;42;3;10
2019-07-23;1;14;19;23;38;3;7
2019-07-19;13;14;17;26;28;2;7
2019-07-16;3;5;13;18;39;7;8
2019-07-12;2;31;39;45;47;4;8
2019-07-09;7;29;32;36;41;6;7
2019-07-05;2;9;20;34;42;6;9
2019-07-02;11;19;29;44;45;8;12
2019-06-28;1;3;16;33;49;2;11
2019-06-25;6;26;27;34;46;1;9
2019-06-21;5;8;9;25;39;3;7
2019-06-18;12;24;37;40;44;3;7
2019-06-14;1;13;30;31;39;2;7
2019-06-11;25;27;39;42;46;11;12
2019-06-07;1;4;16;20;34;2;5
2019-06-04;9;31;32;39;41;2;8
2019-05-31;1;23;24;26;35;1;11
2019-05-28;7;19;20;28;29;1;5
2019-05-24;5;16;23;30;49;6;7
2019-05-21;32;33;34;39;47;8;12
2019-05-17;16;28;42;43;45;6;7
2019-05-14;10;14;17;25;50;2;10
2019-05-10;1;4;27;45;48;1;7
2019-05-07;7;20;26;32;47;2;11
2019-05-03;2;9;20;27;43;5;6
2019-04-30;5;12;20;26;48;2;11
2019-04-26;14;33;35;47;50;9;11
2019-04-23;18;23;27;42;44;2;7
2019-04-19;7;8;32;41;49;5;11
2019-04-16;1;8;15;44;49;2;11
2019-04-12;1;28;35;36;46;6;9
2019-04-09;18;21;29;38;41;1;11
2019-04-05;1;7;10;29;45;3;5
2019-04-02;2;9;16;26;36;6;7
2019-03-29;13;23;26;32;47;6;10
2019-03-26;12;19;23;43;47;2;6
2019-03-22;4;17;26;30;43;6;11
2019-03-19;1;6;9;34;47;7;12
2019-03-15;3;15;24;42;46;9;12
2019-03-12;5;7;13;19;31;2;9
2019-03-08;17;18;19;24;40;4;8
2019-03-05;6;10;16;39;46;8;11
2019-03-01;6;9;19;26;31;11;12
2019-02-26;3;15;29;35;47;3;4
2019-02-22;3;27;29;33;50;3;7
2019-02-19;1;8;18;19;39;7;9
2019-02-15;15;27;34;38;49;2;10
2019-02-12;6;34;36;41;50;1;5
2019-02-08;11;12;13;39;46;7;10
2019-02-05;14;25;31;37;43;2;3
2019-02-01;3;21;26;41;46;1;6
2019-01-29;14;24;26;32;39;3;8
2019-01-25;1;6;13;15;16;6;10
2019-01-22;9;23;29;41;49;8;10
2019-01-18;5;6;16;30;46;5;10
2019-01-15;22;25;29;33;35;3;6
2019-01-11;1;19;31;39;48;1;6
2019-01-08;3;19;22;31;32;2;11
2019-01-04;7;11;19;27;37;6;10
2019-01-01;1;8;11;25;28;4;6
