Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2008-12-26;1;2;26;44;50;1;7
2008-12-19;28;29;40;46;50;5;7
2008-12-12;2;19;28;42;49;2;7
2008-12-05;4;8;21;35;45;5;8
2008-11-28;8;11;16;25;41;2;4
2008-11-21;9;14;21;49;50;3;8
2008-11-14;8;10;14;21;26;3;4
2008-11-07;1;9;12;17;18;3;4
2008-10-31;3;18;25;34;41;2;5
2008-10-24;7;15;16;17;45;6;9
2008-10-17;3;10;12;42;50;1;5
2008-10-10;4;15;22;31;41;1;6
2008-10-03;4;13;19;23;38;2;3
2008-09-26;14;29;31;33;37;1;2
2008-09-19;14;16;19;20;31;6;9
2008-09-12;19;23;33;37;50;3;7
2008-09-05;7;12;16;17;39;3;8
2008-08-29;2;20;25;37;39;5;8
2008-08-22;7;27;29;39;50;5;7
2008-08-15;11;17;18;26;31;5;6
2008-08-08;4;5;15;16;45;4;7
2008-08-01;1;22;25;40;50;1;8
2008-07-25;7;11;15;24;29;2;7
2008-07-18;10;14;16;29;44;5;6
2008-07-11;9;11;13;19;37;3;4
2008-07-04;7;19;22;27;48;5;7
2008-06-27;5;20;26;44;50;5;7
2008-06-20;8;11;36;37;45;3;5
2008-06-13;13;16;37;44;50;1;9
2008-06-06;7;19;21;40;50;2;9
2008-05-30;5;7;14;20;49;2;8
2008-05-23;5;9;19;21;38;1;7
2008-05-16;6;9;15;25;38;4;9
2008-05-09;8;9;40;42;45;6;7
2008-05-02;2;26;37;45;48;4;8
2008-04-25;4;19;26;27;30;3;8
2008-04-18;3;6;7;27;50;5;9
2008-04-11;6;25;30;45;50;5;7
2008-04-04;11;13;18;37;47;1;6
2008-03-28;5;9;17;29;39;3;6
2008-03-21;2;10;18;22;36;4;6
2008-03-14;13;21;25;35;48;4;8
2008-03-07;2;7;14;17;35;1;6
2008-02-29;12;37;40;47;49;2;9
2008-02-22;4;27;32;46;50;8;9
2008-02-15;12;27;29;45;46;4;7
2008-02-08;17;28;30;38;44;1;4
2008-02-01;22;30;45;47;49;4;9
2008-01-25;2;6;9;19;45;7;8
2008-01-18;14;16;23;40;46;4;8
2008-01-11;8;24;36;49;50;4;8
2008-01-04;10;12;24;25;41;3;5
