Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2022-12-30;17;34;42;47;48;01;09
2022-12-27;19;31;33;34;43;03;05
2022-12-23;16;17;23;26;35;05;11
2022-12-20;01;11;17;20;27;04;05
2022-12-16;02;15;19;35;44;02;07
2022-12-13;03;09;12;26;30;10;11
2022-12-09;08;27;31;46;50;01;03
2022-12-06;12;20;25;26;27;08;12
2022-12-02;12;21;35;39;45;06;11
2022-11-29;15;20;24;35;38;08;12
2022-11-25;19;21;35;37;39;02;06
2022-11-22;21;22;24;29;42;03;11
2022-11-18;13;16;19;35;41;01;11
2022-11-15;13;21;24;31;33;01;12
2022-11-11;02;19;24;25;44;02;10
2022-11-08;03;05;32;33;50;01;08
2022-11-04;02;11;37;45;47;02;03
2022-11-01;19;37;42;47;48;01;06
2022-10-28;14;16;21;28;35;01;11
2022-10-25;07;24;34;39;46;01;06
2022-10-21;25;26;28;38;40;01;06
2022-10-18;03;05;13;42;48;01;06
2022-10-14;24;28;29;34;48;03;07
2022-10-11;08;23;32;35;40;01;08
2022-10-07;26;27;42;45;50;01;12
2022-10-04;03;18;28;42;43;03;12
2022-09-30;01;02;11;16;26;03;12
2022-09-27;04;20;21;34;44;01;03
2022-09-23;14;15;22;35;48;03;08
2022-09-20;11;21;23;32;48;03;12
2022-09-16;10;27;36;45;49;03;04
2022-09-13;09;12;15;40;47;01;11
2022-09-09;17;23;24;26;27;04;09
2022-09-06;07;10;22;29;44;04;05
2022-09-02;07;12;13;20;45;03;12
2022-08-30;04;06;10;15;19;01;04
2022-08-26;22;23;25;38;44;11;12
2022-08-23;19;26;31;39;48;02;03
2022-08-19;02;09;13;19;38;02;06
2022-08-16;10;14;25;32;39;07;08
2022-08-12;14;17;34;35;42;06;10
2022-08-09;18;19;21;27;47;05;11
2022-08-05;03;29;33;35;44;08;10
2022-08-02;07;18;28;40;48;08;11
2022-07-29;03;23;38;43;48;03;08
2022-07-26;03;05;17;25;27;01;09
2022-07-22;16;18;29;32;50;04;11
2022-07-19;06;23;27;40;41;02;12
2022-07-15;09;17;29;38;39;07;10
2022-07-12;14;18;24;25;50;06;11
2022-07-08;28;31;35;43;46;04;07
2022-07-05;07;10;25;45;48;03;06
2022-07-01;06;18;24;34;46;03;12
2022-06-28;10;35;42;47;48;02;11
2022-06-24;10;17;28;44;50;08;12
2022-06-21;06;23;36;39;47;08;10
2022-06-17;19;21;22;31;38;07;11
2022-06-14;02;07;27;34;40;03;11
2022-06-10;17;26;36;37;40;09;12
2022-06-07;6;16;17;25;31;2;6
2022-06-03;12;28;29;34;48;9;11
2022-05-31;3;10;13;42;49;3;9
2022-05-27;15;23;28;34;48;3;5
2022-05-24;10;13;27;36;37;2;10
2022-05-20;8;22;23;32;50;3;9
2022-05-17;5;28;30;48;49;5;11
2022-05-13;3;11;17;45;48;4;8
2022-05-10;3;25;27;28;29;4;9
2022-05-06;3;8;18;24;40;3;11
2022-05-03;8;20;26;47;48;3;8
2022-04-29;10;11;20;36;37;3;7
2022-04-26;4;25;28;34;45;8;11
2022-04-22;6;11;21;35;36;1;9
2022-04-19;2;12;17;28;46;6;10
2022-04-15;6;24;30;32;48;5;6
2022-04-12;21;30;31;35;47;2;10
2022-04-08;1;15;16;38;45;4;11
2022-04-05;1;11;13;24;49;5;6
2022-04-01;2;7;21;31;45;4;10
2022-03-29;8;11;33;42;43;6;11
2022-03-25;6;10;24;27;29;5;12
2022-03-22;7;17;21;29;40;8;11
2022-03-18;1;9;14;17;43;6;12
2022-03-15;1;2;12;19;26;2;8
2022-03-11;12;19;22;23;48;2;6
2022-03-08;12;18;21;25;31;2;9
2022-03-04;6;20;40;42;43;10;12
2022-03-01;8;24;26;39;42;3;5
2022-02-25;10;13;24;30;42;1;5
2022-02-22;5;9;14;26;32;3;7
2022-02-18;25;38;41;43;50;6;10
2022-02-15;9;20;31;33;44;2;12
2022-02-11;13;18;38;42;45;7;11
2022-02-08;6;20;34;37;43;7;10
2022-02-04;3;25;38;43;49;3;7
2022-02-01;1;19;36;38;49;6;9
2022-01-28;10;25;29;34;45;9;10
2022-01-25;6;16;18;39;47;2;4
2022-01-21;5;14;35;36;39;7;12
2022-01-18;3;12;19;24;30;2;5
2022-01-14;6;17;25;31;46;9;12
2022-01-11;4;23;32;33;44;9;12
2022-01-07;2;14;37;44;50;7;11
2022-01-04;18;28;35;36;41;6;11
