Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2024-12-27 00:00:00.0000000;12;22;27;33;45;4;8
2024-12-24 00:00:00.0000000;6;10;16;23;24;11;12
2024-12-20 00:00:00.0000000;10;14;21;33;50;6;9
2024-12-17 00:00:00.0000000;1;3;4;21;29;2;7
2024-12-13 00:00:00.0000000;1;15;25;42;50;4;10
2024-12-10 00:00:00.0000000;5;24;25;29;47;5;9
2024-12-06 00:00:00.0000000;14;25;39;44;47;6;10
2024-12-03 00:00:00.0000000;23;25;34;46;47;6;8
2024-11-29 00:00:00.0000000;8;17;18;29;43;5;9
2024-11-26 00:00:00.0000000;7;11;25;31;40;9;12
2024-11-22 00:00:00.0000000;10;11;12;29;31;8;11
2024-11-19 00:00:00.0000000;4;13;20;28;49;7;12
2024-11-15 00:00:00.0000000;7;8;34;39;44;2;6
2024-11-12 00:00:00.0000000;10;11;12;22;50;1;10
2024-11-08 00:00:00.0000000;2;33;35;42;48;1;3
2024-11-05 00:00:00.0000000;1;8;19;37;50;6;9
2024-11-01 00:00:00.0000000;7;33;38;44;50;2;7
2024-10-29 00:00:00.0000000;1;2;19;30;45;10;12
2024-10-25 00:00:00.0000000;4;17;20;25;45;8;9
2024-10-22 00:00:00.0000000;3;13;27;30;46;1;2
2024-10-18 00:00:00.0000000;4;15;23;30;39;1;12
2024-10-15 00:00:00.0000000;2;15;32;36;48;3;9
2024-10-11 00:00:00.0000000;16;23;32;46;49;4;5
2024-10-08 00:00:00.0000000;7;14;19;34;40;6;8
2024-10-04 00:00:00.0000000;4;8;16;17;20;1;6
2024-10-01 00:00:00.0000000;8;22;29;41;42;9;11
2024-09-27 00:00:00.0000000;7;20;21;27;38;5;12
2024-09-24 00:00:00.0000000;18;20;21;36;49;3;5
2024-09-20 00:00:00.0000000;16;25;29;34;37;3;7
2024-09-17 00:00:00.0000000;20;30;32;41;44;1;10
2024-09-13 00:00:00.0000000;10;15;17;31;42;4;12
2024-09-10 00:00:00.0000000;6;29;46;47;48;2;9
2024-09-06 00:00:00.0000000;12;14;34;41;47;3;4
2024-09-03 00:00:00.0000000;7;9;11;16;45;2;5
2024-08-30 00:00:00.0000000;3;24;27;33;42;4;6
2024-08-27 00:00:00.0000000;1;8;11;42;47;4;11
2024-08-23 00:00:00.0000000;9;15;24;47;50;8;9
2024-08-20 00:00:00.0000000;7;10;13;18;26;3;12
2024-08-16 00:00:00.0000000;15;17;29;45;49;1;10
2024-08-13 00:00:00.0000000;15;16;39;40;47;1;6
2024-08-09 00:00:00.0000000;21;23;25;33;44;4;10
2024-08-06 00:00:00.0000000;1;18;27;41;50;2;12
2024-08-02 00:00:00.0000000;5;7;12;33;46;3;12
2024-07-30 00:00:00.0000000;9;25;28;37;38;2;8
2024-07-26 00:00:00.0000000;4;19;23;35;37;4;8
2024-07-23 00:00:00.0000000;4;8;10;16;34;4;8
2024-07-19 00:00:00.0000000;15;22;35;44;48;6;7
2024-07-16 00:00:00.0000000;2;32;35;36;39;7;8
2024-07-12 00:00:00.0000000;12;18;24;25;39;8;10
2024-07-09 00:00:00.0000000;6;15;19;28;39;7;11
