Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2010-12-31;2;5;9;20;26;27;28;29;31;34;35;37;42;44;49;54;56;58;60;64
2010-12-30;7;9;11;17;18;21;23;26;29;36;38;42;44;45;50;57;59;60;61;64
2010-12-29;1;2;4;6;19;22;24;25;26;27;29;34;37;40;45;48;49;52;55;64
2010-12-28;9;10;13;14;15;16;23;26;28;33;36;37;43;45;56;57;60;64;65;69
2010-12-27;1;2;3;4;6;8;10;13;15;19;20;27;30;31;32;41;49;50;52;55
2010-12-24;2;4;7;8;10;12;15;16;17;18;25;29;30;33;38;55;60;61;63;64
2010-12-23;10;12;17;22;23;25;26;28;29;30;33;36;40;41;42;43;44;63;65;68
2010-12-22;4;13;15;16;21;23;25;26;27;36;38;39;40;47;48;50;51;53;56;62
2010-12-21;2;3;14;20;22;28;30;31;39;40;41;46;47;48;52;58;61;67;69;70
2010-12-20;2;4;6;9;13;18;23;29;30;31;32;36;41;42;43;45;55;57;58;67
2010-12-18;1;6;9;12;14;17;20;22;26;29;33;38;39;41;48;53;63;66;69;70
2010-12-17;1;3;4;6;8;10;14;24;25;27;29;31;32;34;39;43;48;49;53;62
2010-12-16;2;3;4;5;6;9;11;15;16;21;33;35;41;52;58;59;62;64;65;66
2010-12-15;2;3;6;10;14;16;19;23;35;40;42;45;46;51;60;62;65;67;68;69
2010-12-14;1;10;15;18;29;35;37;46;47;51;52;54;55;57;64;65;67;68;69;70
2010-12-13;2;3;6;8;10;11;25;30;34;37;38;40;44;48;54;55;56;57;58;70
2010-12-11;7;11;16;17;18;20;22;23;28;41;42;44;47;50;54;60;63;64;65;69
2010-12-10;1;5;7;10;14;16;17;19;22;25;26;32;34;45;47;48;49;53;56;70
2010-12-09;3;4;7;11;14;19;21;22;24;25;26;31;46;52;54;56;58;61;65;70
2010-12-08;8;14;16;18;19;21;24;25;26;27;30;33;34;36;41;48;59;64;65;66
2010-12-07;1;6;17;19;22;27;29;35;39;40;43;44;45;46;50;53;60;63;65;70
2010-12-06;4;6;7;8;24;25;29;32;33;34;37;40;45;47;52;54;55;60;62;68
2010-12-04;1;2;3;4;5;6;7;10;24;27;29;30;39;47;53;55;60;65;66;67
2010-12-03;1;2;11;17;19;23;24;27;29;30;34;35;37;38;43;46;58;59;61;70
2010-12-02;11;14;15;18;19;23;26;39;40;41;44;46;48;49;53;54;57;64;65;66
2010-12-01;14;16;19;21;26;28;30;32;33;34;36;37;39;50;56;58;60;61;64;67
2010-11-30;2;8;12;14;21;27;31;32;37;39;40;42;47;48;53;57;58;61;62;64
2010-11-29;1;3;4;10;17;18;19;26;27;29;30;33;45;47;48;58;61;64;65;66
2010-11-27;5;7;9;11;13;15;16;17;19;21;39;46;47;48;54;58;59;64;66;69
2010-11-26;3;8;14;15;16;17;29;30;31;40;43;47;56;58;59;62;64;65;67;69
2010-11-25;5;10;12;15;17;19;23;26;27;34;36;44;46;47;53;55;60;61;64;68
2010-11-24;4;6;7;8;9;11;14;17;18;23;27;33;39;40;51;53;54;59;60;63
2010-11-23;2;3;7;10;12;15;16;29;30;37;38;41;43;53;54;60;64;65;67;68
2010-11-22;3;6;12;17;19;21;27;32;35;39;40;43;46;48;50;51;52;59;60;62
2010-11-20;10;16;21;22;23;28;29;32;33;37;39;42;45;46;49;53;56;64;69;70
2010-11-19;1;2;4;21;24;29;35;38;42;49;51;53;55;56;58;59;64;65;66;67
2010-11-18;5;6;13;16;17;21;23;24;30;37;38;44;47;53;55;56;59;62;64;70
2010-11-17;2;3;4;5;7;13;16;22;23;32;40;41;44;45;48;51;52;59;60;66
2010-11-16;1;3;6;11;16;17;29;32;37;38;44;45;47;50;52;57;58;60;62;70
2010-11-15;2;4;5;8;10;11;13;14;19;31;32;33;36;39;43;49;50;53;57;62
2010-11-13;1;2;4;7;9;11;12;17;20;22;23;26;29;30;36;50;52;67;69;70
2010-11-12;4;8;9;10;11;13;15;19;25;27;29;32;41;42;44;46;47;52;59;67
2010-11-10;1;4;5;7;12;17;18;22;25;27;33;34;38;42;45;47;53;61;62;63
2010-11-09;3;5;6;12;13;14;20;29;32;37;38;40;44;57;60;63;64;65;66;67
2010-11-08;9;12;16;17;20;23;35;36;39;40;42;43;47;48;51;52;53;56;59;65
2010-11-06;4;9;10;17;20;25;27;36;39;44;48;52;59;60;62;63;65;67;68;70
2010-11-05;2;5;7;10;11;18;20;23;24;26;27;33;39;43;48;52;56;60;61;62
2010-11-04;3;7;8;16;18;21;22;25;26;27;28;29;32;36;48;49;60;62;63;66
2010-11-03;1;3;5;7;9;24;33;34;35;36;38;40;41;45;50;53;54;55;63;64
2010-11-02;1;3;6;11;17;18;22;24;28;29;35;36;40;48;49;56;59;60;61;63
2010-10-30;10;12;14;20;21;24;25;28;29;35;37;38;40;43;53;54;57;65;69;70
2010-10-29;1;2;4;8;20;24;26;32;33;40;44;45;46;48;49;52;53;55;65;69
2010-10-28;1;3;6;8;13;17;19;24;29;30;32;34;40;41;45;49;51;63;64;68
2010-10-27;7;8;12;14;19;21;30;31;35;36;41;43;51;53;55;57;60;62;63;68
2010-10-26;5;7;9;13;18;20;23;26;27;31;32;34;35;50;53;57;61;64;65;66
2010-10-25;1;18;19;23;26;28;30;32;33;35;36;39;40;47;48;51;55;62;65;66
2010-10-23;1;4;6;11;12;13;21;34;35;36;44;49;51;52;54;55;59;60;61;69
2010-10-22;2;3;8;10;23;27;30;32;36;38;39;44;46;50;52;53;55;59;65;70
