Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2020-12-31;3;10;20;21;25;27;29;30;32;33;34;43;44;52;53;54;63;64;68;69
2020-12-30;3;6;7;24;39;40;43;45;46;49;50;51;57;59;60;61;63;64;65;70
2020-12-29;1;4;12;13;15;19;20;29;32;34;35;41;43;51;57;60;63;66;68;69
2020-12-28;2;12;14;17;21;24;25;29;30;31;32;34;41;49;50;54;58;63;66;70
2020-12-27;2;4;5;7;10;19;21;29;32;35;37;43;47;48;54;55;60;62;65;68
2020-12-26;2;7;8;12;13;24;25;27;34;41;45;49;53;54;55;58;60;66;67;68
2020-12-25;1;4;5;13;18;20;21;26;31;35;39;40;42;47;50;57;62;66;68;70
2020-12-24;1;2;3;10;11;21;28;30;39;43;49;51;53;54;59;62;63;65;67;70
2020-12-23;1;2;7;13;14;22;25;31;36;38;41;42;43;44;45;46;50;54;63;70
2020-12-22;7;8;9;12;21;22;23;24;25;32;35;38;43;46;53;54;56;59;62;65
2020-12-21;1;2;5;7;8;14;15;22;29;31;40;42;52;54;56;61;62;63;65;66
2020-12-20;3;5;6;11;13;21;30;31;34;35;36;37;38;39;40;45;47;51;56;68
2020-12-19;1;4;5;9;18;26;32;35;38;39;44;47;48;52;55;57;61;63;69;70
2020-12-18;3;6;10;14;15;18;20;24;29;30;34;35;39;42;44;46;53;55;62;67
2020-12-17;1;2;4;11;12;25;27;31;34;35;38;39;44;45;48;52;53;63;67;70
2020-12-16;1;2;7;14;15;16;17;18;22;24;26;29;30;31;35;36;37;48;50;67
2020-12-15;3;4;5;8;9;13;16;19;25;33;34;44;46;47;51;56;61;63;67;70
2020-12-14;4;8;9;11;13;18;22;29;31;32;33;37;51;54;57;58;60;61;67;69
2020-12-13;3;4;5;10;11;12;14;16;22;27;28;35;41;43;45;55;57;60;64;66
2020-12-12;1;3;11;17;22;23;25;27;29;33;34;35;36;45;50;51;56;60;62;68
2020-12-11;1;2;3;13;15;16;20;26;29;30;31;34;36;37;42;47;52;56;58;61
2020-12-10;1;2;8;9;10;12;15;18;24;25;31;37;38;42;48;61;66;67;68;70
2020-12-09;3;4;7;10;11;12;13;14;15;30;33;35;41;52;57;62;63;64;66;67
2020-12-08;1;3;6;12;14;20;21;25;37;38;43;47;48;49;59;60;63;64;65;68
2020-12-07;2;7;10;11;17;18;21;24;30;31;33;35;36;37;38;39;42;51;60;65
2020-12-06;2;3;4;6;9;12;15;17;18;27;30;31;32;33;46;49;56;58;59;67
2020-12-05;2;3;6;7;9;10;15;20;26;27;28;29;44;45;46;60;61;64;66;68
2020-12-04;1;5;9;10;12;14;19;20;21;28;29;32;37;38;46;48;52;54;60;68
2020-12-03;8;10;18;20;21;22;35;37;42;43;44;45;47;50;52;55;59;60;62;70
2020-12-02;1;7;9;10;13;16;19;22;25;31;32;33;35;36;46;49;52;66;69;70
2020-12-01;1;6;8;13;16;17;21;26;29;38;41;43;45;47;48;50;54;57;63;66
2020-11-30;9;11;16;17;18;19;26;27;28;29;30;33;36;37;41;43;55;58;61;64
2020-11-29;1;6;8;13;15;16;19;22;30;31;33;35;39;41;57;63;65;68;69;70
2020-11-28;3;11;12;16;18;21;22;26;27;34;38;39;43;45;50;60;61;62;67;70
2020-11-27;1;2;3;7;11;13;16;18;19;20;24;26;32;35;39;48;54;55;64;68
2020-11-26;5;9;15;18;21;22;24;26;31;33;34;46;48;51;52;55;58;60;62;68
2020-11-25;5;9;17;20;22;23;24;25;26;29;38;41;47;56;58;64;65;66;67;70
2020-11-24;1;7;9;11;17;23;25;26;29;31;32;33;35;42;43;44;48;49;64;65
2020-11-23;13;21;24;25;28;32;33;34;36;37;38;40;43;47;51;53;58;59;63;67
2020-11-22;1;9;11;13;15;21;29;32;36;39;44;51;53;57;59;60;63;65;68;70
2020-11-21;1;2;5;8;11;15;19;36;40;41;46;47;49;51;54;55;60;62;66;70
2020-11-20;3;6;12;18;19;20;22;23;25;26;28;32;33;35;36;39;45;54;55;66
2020-11-19;6;16;26;32;33;35;36;38;44;45;46;49;51;55;58;61;62;65;67;68
2020-11-18;2;3;9;12;15;16;21;24;27;32;33;36;42;49;52;56;63;65;66;68
2020-11-17;4;11;15;17;19;27;30;31;32;35;36;39;45;53;54;55;58;62;66;69
2020-11-16;1;2;6;18;20;22;23;34;38;43;46;47;52;54;57;58;60;65;67;68
2020-11-15;5;6;8;17;24;25;30;32;33;35;36;39;43;48;53;59;63;67;69;70
2020-11-14;3;4;7;10;13;15;19;21;23;27;33;34;36;38;42;46;56;67;68;69
2020-11-13;2;3;9;15;16;18;22;25;30;33;36;44;46;49;50;53;59;63;64;68
2020-11-12;6;13;15;16;20;23;25;30;32;34;39;40;44;45;50;51;59;64;65;70
2020-11-11;1;2;5;8;13;22;26;29;33;36;41;43;44;47;49;50;57;58;61;64
2020-11-10;4;5;6;9;12;18;21;23;24;26;28;30;33;34;44;47;49;50;52;60
2020-11-09;5;7;20;28;30;31;33;40;43;49;50;52;58;60;61;62;64;65;66;68
2020-11-08;5;6;10;19;31;33;38;44;45;47;49;52;53;54;56;57;59;60;64;68
2020-11-07;2;9;11;16;20;23;24;26;34;35;39;46;48;50;55;56;57;59;60;70
2020-11-06;2;5;12;14;16;17;18;20;21;23;25;26;30;32;33;37;38;48;65;66
