Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
1999-12-31;5;13;19;20;23;28;30;34;42;49;52;53;54;60;62;66;73;74;77;79
1999-12-30;3;5;6;9;16;17;21;30;35;44;47;54;55;61;69;70;73;74;75;80
1999-12-29;7;8;9;10;17;20;22;25;26;33;35;37;38;39;44;49;51;54;63;65
1999-12-28;1;12;16;18;20;21;26;30;32;37;44;47;49;50;56;64;65;70;73;78
1999-12-27;7;11;27;29;30;32;39;43;46;47;55;57;61;65;66;68;69;70;73;75
1999-12-24;1;17;19;23;26;30;33;37;40;42;51;57;59;61;62;68;69;73;76;80
1999-12-23;1;7;14;16;21;22;25;26;28;41;45;47;53;62;64;65;70;71;78;80
1999-12-22;5;7;9;15;23;24;26;28;29;33;34;38;51;62;63;70;72;74;75;79
1999-12-21;4;6;7;12;13;32;35;36;40;48;51;52;54;55;60;64;65;66;69;70
1999-12-20;5;10;18;25;26;27;28;29;30;33;34;40;45;50;56;62;69;71;77;79
1999-12-18;1;5;10;13;16;19;28;29;30;35;38;39;40;45;48;52;62;66;72;78
1999-12-17;12;14;16;20;22;23;37;40;43;44;47;52;55;58;65;71;72;73;77;80
1999-12-16;2;3;4;6;9;25;26;31;34;37;42;44;46;48;49;53;55;56;69;75
1999-12-15;1;11;20;21;25;26;30;36;42;43;48;51;54;55;62;64;68;69;75;80
1999-12-14;2;3;8;19;25;29;34;41;50;51;52;55;56;58;69;71;73;75;76;77
1999-12-13;2;6;13;15;17;19;20;23;38;43;45;46;50;69;71;72;73;75;79;80
1999-12-11;8;17;20;21;27;29;32;33;34;35;38;40;50;54;61;65;66;68;71;78
1999-12-10;5;8;9;10;11;18;24;25;26;28;31;34;35;48;49;53;62;68;74;80
1999-12-09;4;11;14;19;21;23;25;27;29;33;35;47;53;54;60;61;63;66;73;80
1999-12-08;2;7;8;11;12;13;19;21;22;23;28;41;43;53;54;55;62;69;74;79
1999-12-07;9;20;24;27;30;35;39;42;45;48;52;53;55;58;62;63;66;70;73;75
1999-12-06;12;20;23;29;31;37;39;40;41;43;45;51;57;58;59;63;68;70;78;80
