Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2001-12-31;1;2;3;5;7;17;23;25;27;28;30;47;49;53;59;62;71;72;74;75
2001-12-29;2;6;8;12;19;22;27;28;30;32;40;44;45;47;55;57;61;74;77;80
2001-12-28;2;4;6;7;8;14;15;16;19;28;30;35;37;52;53;54;59;65;70;73
2001-12-27;3;11;12;15;20;22;25;26;31;43;46;48;49;53;59;60;66;71;74;75
2001-12-26;2;4;11;13;15;16;19;23;33;34;37;41;49;52;53;57;60;62;64;70
2001-12-24;3;6;15;16;17;28;30;32;46;48;49;56;62;63;64;65;74;76;77;79
2001-12-22;2;6;12;21;22;23;28;31;38;40;43;47;53;57;58;59;66;73;76;80
2001-12-21;1;8;23;25;30;32;35;43;45;46;50;51;52;54;58;63;66;70;74;76
2001-12-20;1;3;4;8;10;11;12;13;15;16;17;18;29;32;35;37;40;43;59;80
2001-12-19;2;3;6;10;12;14;15;18;24;27;28;29;35;38;51;52;57;60;65;77
2001-12-18;1;3;14;15;19;22;28;30;37;38;40;45;47;50;57;58;62;67;71;80
2001-12-17;4;10;15;21;33;36;39;43;46;50;57;63;64;66;70;73;75;76;77;78
2001-12-15;10;12;13;16;17;21;23;26;30;31;35;39;43;47;50;51;56;62;69;70
2001-12-14;5;9;10;11;18;22;26;31;33;35;37;47;53;65;69;70;74;75;78;79
2001-12-13;5;6;11;15;21;23;33;34;36;37;43;44;46;53;61;62;66;68;73;79
2001-12-12;2;7;12;14;15;21;22;32;41;43;49;51;52;53;55;58;60;68;75;79
2001-12-11;3;7;13;16;19;20;24;32;36;38;39;45;48;63;64;66;69;77;78;79
2001-12-10;9;10;11;22;24;25;31;36;38;43;44;45;46;52;53;61;62;63;65;77
2001-12-08;4;6;7;9;11;14;17;20;24;28;37;43;47;52;58;63;66;77;78;79
2001-12-07;3;5;13;25;27;28;31;32;33;34;38;42;50;51;58;59;67;68;70;79
2001-12-06;1;3;10;17;18;24;25;29;36;47;49;61;62;63;64;69;71;75;76;80
2001-12-05;2;4;10;18;20;21;28;30;35;40;41;44;48;54;58;63;68;74;76;78
2001-12-04;1;7;8;19;20;22;26;30;31;40;48;49;50;53;54;60;66;68;72;76
2001-12-03;3;4;6;7;8;15;18;19;25;31;35;38;44;48;49;50;52;64;67;76
2001-12-01;1;7;9;15;18;27;28;32;34;41;45;52;57;60;62;63;65;67;72;76
2001-11-30;1;2;6;9;10;11;19;24;28;31;33;44;48;49;54;57;58;61;67;76
2001-11-29;1;5;7;8;12;16;21;32;45;52;53;54;55;61;62;67;68;70;74;78
2001-11-28;1;3;10;13;15;23;24;30;35;36;39;40;48;50;53;58;65;73;75;79
2001-11-27;13;14;16;19;20;24;25;29;30;35;37;45;49;64;65;70;72;73;79;80
2001-11-26;5;8;9;12;13;14;20;23;26;28;31;49;52;56;60;63;64;65;69;75
2001-11-24;2;5;7;12;13;14;17;23;29;44;45;47;55;59;65;67;69;74;77;79
2001-11-23;3;6;7;8;9;10;11;16;27;29;39;41;50;55;60;63;67;71;74;78
2001-11-22;11;12;22;23;25;33;36;37;39;40;47;49;55;56;57;69;70;73;75;76
2001-11-21;3;10;13;18;24;25;27;28;33;34;35;36;37;40;41;53;54;56;60;66
2001-11-20;5;9;12;16;17;22;34;49;54;57;58;59;60;66;67;69;70;77;79;80
2001-11-19;4;5;12;14;15;18;21;24;30;36;38;46;61;62;63;64;65;67;72;76
2001-11-17;11;21;22;24;25;27;29;35;36;39;40;44;47;48;55;57;68;72;74;75
2001-11-16;5;7;8;10;13;14;18;25;26;30;34;40;48;55;56;57;61;64;72;77
2001-11-15;4;7;8;15;18;22;26;27;29;33;35;37;42;43;48;54;57;58;61;67
2001-11-14;6;7;23;25;26;27;29;33;41;44;45;46;51;54;59;60;69;71;72;77
2001-11-13;1;4;5;6;18;22;27;28;33;38;39;46;48;49;66;67;69;73;75;79
2001-11-12;3;4;7;9;12;19;28;32;34;47;50;53;55;59;60;66;72;74;76;78
2001-11-10;2;4;15;16;17;18;29;32;37;50;51;53;56;61;63;67;68;69;70;72
2001-11-09;2;9;11;17;20;21;22;23;24;30;41;43;49;50;55;62;64;68;70;80
2001-11-08;4;6;8;13;14;21;23;26;30;34;39;40;47;51;56;63;64;70;74;79
2001-11-07;1;3;8;9;14;16;19;22;23;29;34;37;40;51;52;60;62;63;68;70
2001-11-06;4;6;10;14;15;17;26;28;35;38;39;42;45;55;61;65;69;71;72;73
2001-11-05;16;17;18;26;29;31;34;36;39;41;42;46;50;54;55;57;64;66;69;80
2001-11-03;6;8;9;12;16;28;31;34;36;40;44;47;51;54;55;59;65;72;73;74
2001-11-02;6;7;8;11;17;24;35;36;37;38;39;42;44;47;49;52;54;55;62;68
2001-10-31;5;11;12;19;26;32;35;39;41;42;45;53;57;58;59;60;68;69;71;80
2001-10-30;5;12;15;19;25;29;30;31;35;43;44;51;52;53;63;64;66;67;68;71
2001-10-29;2;4;5;6;11;12;13;16;24;27;32;40;49;56;57;59;65;73;78;80
2001-10-27;4;8;13;16;20;32;34;37;40;42;44;47;48;51;60;64;69;77;78;80
2001-10-26;1;7;8;9;16;17;18;24;25;26;29;35;44;47;49;54;58;67;69;73
2001-10-25;3;7;10;12;15;19;22;23;25;33;36;39;45;55;63;67;69;73;77;78
2001-10-24;3;6;9;18;21;26;31;33;40;41;45;46;47;54;57;60;63;65;71;76
2001-10-23;2;5;6;8;9;14;21;29;40;43;48;50;53;56;57;59;63;71;78;80
2001-10-22;1;2;5;8;9;12;24;31;32;39;44;50;60;62;63;66;68;70;71;78
2001-10-20;2;5;15;19;21;23;24;30;32;37;42;43;49;50;55;68;70;72;75;79
2001-10-19;2;9;10;13;19;22;23;33;34;35;37;39;42;46;52;60;62;70;71;76
2001-10-18;1;11;19;22;24;26;27;30;32;35;41;42;45;52;57;58;62;65;73;77
2001-10-17;4;7;12;14;17;23;25;26;32;33;45;48;57;58;68;69;72;76;78;80
