Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
1997-12-31;4;10;12;14;23;26;32;33;35;43;46;47;51;52;57;59;67;71;72;78
1997-12-30;1;2;6;7;9;18;22;25;34;35;36;40;47;55;59;66;68;69;71;76
1997-12-29;2;3;6;16;20;22;26;27;32;34;35;36;37;48;49;51;61;65;66;69
1997-12-27;1;8;10;15;16;19;20;28;32;33;37;41;42;45;48;51;54;55;66;77
1997-12-26;3;7;11;17;27;29;37;40;45;46;47;48;50;53;55;56;57;62;63;69
1997-12-24;3;10;12;17;21;23;24;25;31;37;39;45;46;47;48;52;58;67;68;79
1997-12-23;2;16;17;18;21;29;33;35;38;43;46;47;49;57;64;65;69;77;78;80
1997-12-22;14;17;31;37;38;40;42;46;49;53;57;60;61;63;66;67;68;69;70;72
1997-12-20;2;3;7;15;16;17;24;29;30;35;38;40;45;49;56;57;64;65;67;74
1997-12-19;4;5;12;17;20;21;26;32;35;41;43;49;52;61;67;71;74;77;78;80
1997-12-18;3;7;9;12;19;21;24;28;33;36;42;45;51;52;58;67;71;73;79;80
1997-12-17;3;9;11;12;15;21;23;26;28;31;35;43;46;48;56;59;61;67;68;78
1997-12-16;8;15;17;18;19;26;27;37;38;47;51;52;54;56;63;68;70;74;75;78
1997-12-15;1;2;4;5;8;9;16;23;28;34;39;41;45;47;49;55;58;71;73;74
1997-12-13;4;5;12;13;18;22;26;27;35;37;41;42;45;56;57;60;67;70;73;78
1997-12-12;1;10;16;20;23;26;30;34;37;41;43;45;46;50;51;63;66;69;70;77
1997-12-11;3;5;7;12;15;17;21;24;32;33;42;44;46;51;52;62;63;67;71;78
1997-12-10;2;5;6;12;13;15;18;28;34;48;57;60;62;63;64;72;73;75;78;79
1997-12-09;3;5;7;13;24;25;26;28;32;42;45;46;50;55;58;60;69;73;77;79
1997-12-08;1;2;3;5;8;10;12;15;17;23;26;27;28;29;47;58;59;72;77;79
1997-12-06;1;3;19;21;26;27;34;41;44;46;48;50;52;53;59;64;66;70;78;80
1997-12-05;11;12;14;17;19;31;43;53;54;56;57;59;64;66;69;74;75;76;77;79
1997-12-04;11;19;31;32;34;43;47;48;52;58;59;60;61;63;64;71;75;76;78;80
1997-12-03;8;12;18;20;22;23;31;34;37;48;50;52;56;59;68;72;73;75;76;79
1997-12-02;3;5;10;15;18;22;23;27;28;30;34;40;43;45;48;50;51;52;60;78
1997-12-01;3;6;11;16;22;26;29;30;31;34;42;45;51;58;60;67;69;71;73;76
1997-11-29;2;7;9;13;14;20;28;29;33;39;44;49;50;55;56;64;66;70;77;79
1997-11-28;6;15;16;19;22;24;26;29;32;33;37;39;41;47;55;59;65;66;73;75
1997-11-27;3;4;7;8;16;17;28;29;34;40;44;45;47;56;57;58;59;62;63;66
1997-11-26;4;10;12;18;19;20;21;24;26;29;33;42;44;48;49;53;54;56;65;78
1997-11-25;1;2;12;13;21;27;31;34;35;44;46;51;52;55;56;58;59;60;71;80
1997-11-24;2;3;8;11;22;23;26;30;31;35;40;48;50;51;55;59;71;74;77;80
1997-11-22;4;11;16;20;22;24;25;27;29;32;33;35;37;41;51;57;62;67;68;75
1997-11-21;7;8;13;20;22;27;30;38;40;46;51;52;55;57;62;66;68;74;77;78
1997-11-20;1;2;9;10;12;15;20;30;32;35;36;42;44;46;48;53;58;66;73;76
1997-11-19;3;4;5;18;19;20;21;22;27;28;31;33;38;58;63;66;67;68;76;80
1997-11-18;4;10;17;20;22;25;26;28;31;37;41;46;51;56;57;60;65;67;71;75
1997-11-17;5;7;13;20;21;23;24;30;35;36;37;54;61;62;64;72;73;77;78;79
1997-11-15;2;6;8;17;27;29;30;31;33;35;41;46;47;48;50;58;64;70;72;79
1997-11-14;2;8;17;23;24;26;27;29;36;40;43;47;56;60;64;67;68;76;78;80
1997-11-13;2;3;4;9;13;15;25;29;30;31;37;40;45;46;55;56;57;62;77;80
1997-11-12;1;3;11;14;15;19;23;29;34;37;40;43;47;50;57;60;68;69;74;75
1997-11-10;5;6;8;10;16;25;27;28;29;31;38;46;50;51;53;55;60;64;66;67
1997-11-08;13;17;19;34;37;39;40;45;46;49;50;52;53;55;57;59;60;61;62;73
1997-11-07;1;3;9;10;13;14;15;20;22;31;33;44;45;46;51;68;73;78;79;80
1997-11-06;3;6;8;11;12;13;27;28;30;36;39;42;46;50;63;70;72;73;75;77
1997-11-05;15;21;22;23;25;27;29;32;33;34;38;45;47;59;60;61;64;75;78;79
1997-11-04;4;5;6;13;19;23;26;27;29;30;31;33;35;43;46;49;65;70;76;78
1997-11-03;5;9;13;14;16;17;25;27;30;34;40;42;46;48;54;61;63;67;77;80
1997-10-31;8;9;11;18;19;20;21;26;28;32;38;41;44;48;59;60;74;78;79;80
1997-10-30;1;4;5;8;10;17;18;19;24;29;33;41;53;54;57;60;62;66;74;80
1997-10-29;6;11;12;16;18;21;24;31;40;41;45;51;54;55;57;69;70;71;73;79
1997-10-28;6;7;13;16;17;23;24;30;31;32;36;47;58;61;63;65;70;71;73;76
1997-10-27;1;2;3;4;9;11;20;23;34;37;43;47;51;54;60;64;70;74;77;79
1997-10-25;5;10;15;16;17;24;27;34;35;39;45;54;56;64;68;70;73;74;75;79
1997-10-24;4;8;9;10;12;13;16;17;37;39;40;49;51;53;57;61;62;65;67;80
