Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2007-10-13;1;4;5;7;8;19;29;38;39;43;50;51;58;61;70;72;74;78;79;80
2007-10-12;11;14;15;23;28;29;30;32;33;37;46;50;51;53;54;55;56;61;69;79
2007-10-11;6;7;10;14;19;20;21;25;27;31;32;35;48;52;59;61;62;74;76;80
2007-10-10;7;9;11;14;17;20;25;26;30;33;37;40;42;48;53;64;65;75;77;79
2007-10-09;1;7;8;11;13;15;16;19;28;30;34;38;39;49;55;59;63;67;68;80
2007-10-08;3;7;9;13;21;22;23;26;28;32;36;39;40;52;54;56;57;62;67;72
2007-10-06;4;9;10;15;20;23;26;28;32;37;39;42;46;47;51;52;59;68;73;75
2007-10-05;2;15;17;18;19;32;39;41;43;44;45;48;50;58;60;63;69;72;75;79
2007-10-04;7;8;10;15;22;25;26;30;31;37;39;47;48;52;54;59;61;68;73;76
2007-10-03;4;8;24;26;30;31;35;37;40;44;49;55;56;62;70;71;74;78;79;80
2007-10-02;4;7;10;11;22;25;31;37;42;45;48;51;52;57;60;62;63;64;77;80
2007-10-01;1;4;10;15;23;28;31;34;35;37;49;52;56;62;63;69;71;75;76;79
2007-09-29;2;6;7;8;24;26;30;32;33;34;38;40;46;52;56;65;69;71;74;78
2007-09-28;4;7;12;14;25;27;28;32;39;43;49;50;54;59;61;67;69;72;78;80
2007-09-27;1;3;10;13;14;16;17;21;25;31;35;39;42;48;61;62;63;68;72;80
2007-09-26;5;6;11;13;15;18;24;25;26;35;38;42;48;51;54;58;59;63;75;77
2007-09-25;2;3;6;8;11;13;26;31;38;40;42;43;46;57;64;68;74;75;77;79
2007-09-24;1;10;12;30;31;33;38;43;45;51;52;58;61;62;65;67;68;75;77;79
2007-09-22;4;5;9;10;12;16;23;24;26;45;46;52;59;60;63;66;69;71;73;74
2007-09-21;3;6;8;12;14;15;18;25;27;29;33;34;35;44;46;51;54;67;69;78
2007-09-20;1;3;10;22;26;30;31;32;33;44;45;54;58;59;65;68;70;74;77;80
2007-09-19;3;9;10;21;25;27;28;30;37;38;40;45;46;53;57;58;67;68;70;74
2007-09-18;1;3;5;7;9;10;19;28;29;33;36;42;43;44;50;53;55;56;61;66
2007-09-17;1;9;16;17;28;31;33;36;39;41;42;45;53;54;56;57;58;61;68;78
2007-09-15;4;19;25;26;27;29;33;34;36;46;50;52;53;58;63;69;75;76;77;78
2007-09-14;6;7;9;19;28;29;37;39;44;54;57;58;59;62;64;65;69;70;77;78
2007-09-13;2;3;9;15;19;21;24;25;27;29;30;39;40;42;54;57;68;69;79;80
2007-09-12;7;13;28;30;32;36;42;47;55;56;57;60;65;66;67;69;70;72;79;80
2007-09-11;6;9;11;12;13;20;21;23;26;33;41;44;48;50;55;57;67;70;74;78
2007-09-10;5;8;14;20;25;29;39;43;44;47;49;51;58;62;65;67;69;76;77;80
2007-09-08;2;5;7;9;13;14;15;16;21;32;33;37;38;39;47;65;66;70;76;80
2007-09-07;4;8;9;12;14;16;18;19;30;33;37;40;42;43;44;46;53;65;71;74
2007-09-06;1;3;4;6;11;18;20;26;33;36;41;46;47;56;58;59;62;63;68;76
2007-09-05;1;4;8;11;15;22;23;39;43;45;46;51;54;56;59;60;68;71;74;77
2007-09-04;2;6;9;12;17;22;23;27;33;36;38;40;45;48;51;59;60;64;70;74
2007-09-03;1;2;3;4;5;9;10;18;25;30;44;46;52;56;57;59;67;70;72;73
2007-09-01;12;15;18;21;23;27;28;33;35;37;43;54;62;65;66;71;74;75;76;80
2007-08-31;1;5;7;16;18;22;25;29;34;39;43;46;47;48;53;54;66;70;73;76
2007-08-30;1;6;11;14;21;22;23;24;32;37;40;47;49;51;56;59;60;63;77;80
2007-08-29;8;10;13;17;20;33;35;44;46;52;53;54;55;67;68;71;73;75;76;78
2007-08-28;1;2;5;14;16;18;25;27;29;33;34;35;39;51;52;59;65;70;77;80
2007-08-27;1;2;4;18;21;28;29;37;41;44;45;46;50;56;58;73;75;76;79;80
2007-08-25;1;7;11;12;18;24;31;36;42;43;44;45;46;51;52;53;55;59;60;68
2007-08-24;2;3;7;8;13;14;15;23;39;50;51;52;53;54;57;58;62;64;66;79
2007-08-23;1;2;11;13;16;20;24;25;26;28;33;39;46;48;50;51;62;64;75;80
2007-08-22;1;3;10;13;14;16;20;23;26;36;40;47;50;51;52;54;57;58;60;71
2007-08-21;1;8;9;15;20;21;28;29;34;35;38;44;45;46;47;57;60;62;77;78
2007-08-20;1;7;10;11;19;25;34;35;39;40;44;50;53;54;58;66;67;73;76;80
2007-08-18;2;3;4;14;17;26;32;40;41;42;43;44;45;46;47;58;65;69;78;80
2007-08-17;1;4;6;10;12;14;16;18;19;22;23;27;30;39;41;44;48;56;58;59
2007-08-16;2;11;16;19;20;21;22;27;29;31;34;37;45;62;64;67;74;75;78;80
