Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2021-12-31;9;10;12;15;21;24;27;31;35;38;42;46;47;53;55;56;59;63;64;65
2021-12-30;2;3;6;11;14;17;18;20;23;25;26;31;32;36;37;38;41;57;62;63
2021-12-29;2;4;10;15;21;24;31;33;34;36;37;40;41;50;55;57;63;64;66;68
2021-12-28;2;8;10;15;16;20;23;30;33;35;36;39;44;45;50;51;52;57;64;70
2021-12-27;10;12;14;15;18;26;30;32;34;36;39;43;47;48;49;51;52;63;65;67
2021-12-26;8;9;11;14;27;28;30;31;34;36;39;40;43;46;48;53;57;60;63;68
2021-12-25;4;6;10;24;27;29;31;32;34;39;41;42;44;48;49;51;52;60;61;68
2021-12-24;2;5;7;11;13;14;15;20;28;31;35;36;37;38;43;52;57;62;65;70
2021-12-23;1;10;17;19;28;29;33;34;36;37;42;43;44;45;50;54;55;59;63;70
2021-12-22;2;11;17;18;20;26;30;38;42;43;44;46;49;50;52;56;57;58;68;70
2021-12-21;4;6;11;12;17;19;23;26;27;28;33;37;40;43;52;56;62;63;66;68
2021-12-20;7;9;11;14;26;32;33;34;35;39;42;43;48;49;50;52;55;57;60;70
2021-12-19;6;13;18;21;23;26;28;32;38;42;46;49;50;52;54;57;58;60;66;67
2021-12-18;13;16;18;23;25;26;27;29;30;34;36;37;40;43;48;51;54;55;61;65
2021-12-17;2;5;7;8;14;17;19;20;26;29;32;33;37;40;41;42;57;61;67;68
2021-12-16;1;2;3;12;13;16;19;22;25;27;31;32;40;45;49;53;56;60;62;63
2021-12-15;3;6;8;16;21;23;24;36;37;44;45;46;47;52;57;58;60;61;64;69
2021-12-14;1;3;4;5;6;9;14;17;18;20;23;29;31;36;37;45;49;51;54;64
2021-12-13;1;4;5;6;8;9;14;17;19;27;29;33;35;44;51;59;60;62;67;68
2021-12-12;3;4;6;10;15;20;21;23;25;26;36;37;45;47;49;57;58;61;68;69
2021-12-11;6;15;16;17;18;20;21;28;32;33;34;39;43;49;53;55;59;62;67;70
2021-12-10;1;4;10;14;15;17;18;19;21;26;28;32;33;36;37;44;48;51;58;64
2021-12-09;5;6;10;13;14;19;27;29;32;35;37;44;48;49;52;54;56;62;66;68
2021-12-08;1;2;11;15;19;24;33;34;36;37;44;46;47;50;56;57;59;63;65;68
2021-12-07;6;7;11;13;17;18;22;24;29;30;33;34;35;42;46;50;52;54;56;64
2021-12-06;3;4;13;16;17;19;23;24;26;34;36;39;41;42;47;48;56;63;67;70
2021-12-05;5;6;14;15;17;19;25;26;27;29;37;40;47;54;56;60;62;63;64;69
2021-12-04;9;11;17;24;25;30;35;37;38;40;44;45;47;51;52;56;58;60;65;68
2021-12-03;1;5;7;11;12;14;15;18;20;28;31;33;35;38;41;45;51;54;56;68
2021-12-02;2;4;5;6;8;9;11;12;28;30;37;46;54;55;58;59;61;62;63;68
2021-12-01;7;10;12;14;15;23;27;29;30;31;34;35;38;42;43;57;58;61;63;66
2021-11-30;1;3;5;22;23;29;32;37;43;48;49;53;54;55;59;60;61;62;65;67
2021-11-29;3;8;9;11;15;16;18;19;21;23;24;27;30;31;35;36;46;49;51;58
2021-11-28;3;4;10;12;26;28;29;30;32;35;36;38;41;45;47;50;58;60;66;68
2021-11-27;4;12;15;17;18;19;23;25;26;28;32;38;41;42;49;53;57;59;63;68
2021-11-26;7;16;17;24;27;28;31;32;37;40;42;44;45;55;58;62;63;64;66;68
2021-11-25;1;9;13;15;20;21;22;32;34;37;39;40;44;46;48;51;59;60;65;67
2021-11-24;2;7;14;19;20;26;28;29;31;35;37;39;42;45;47;49;57;61;62;65
2021-11-23;1;4;7;10;12;14;16;21;22;23;27;28;41;50;53;57;61;62;64;67
2021-11-22;1;5;6;16;22;24;25;28;33;35;37;40;42;44;50;51;53;62;66;69
2021-11-21;11;19;20;27;28;30;31;33;46;50;51;54;55;56;61;62;63;64;65;67
2021-11-20;1;3;7;9;25;27;29;31;32;33;35;38;41;43;57;60;61;65;66;67
2021-11-19;5;7;12;15;17;18;19;28;29;32;33;36;37;45;46;47;50;52;58;65
2021-11-18;1;2;4;7;8;17;18;22;24;27;32;34;35;42;48;49;52;57;62;67
2021-11-17;9;10;12;16;21;22;24;27;28;29;33;37;38;45;48;51;56;58;60;64
2021-11-16;1;2;3;5;9;14;16;26;31;37;39;41;46;49;51;53;57;64;65;68
2021-11-15;2;10;12;13;20;24;26;35;41;43;44;48;50;52;60;63;66;67;68;69
2021-11-14;1;3;6;7;15;21;27;29;35;36;37;40;47;48;49;51;53;54;58;62
2021-11-13;5;7;11;14;16;17;22;23;24;35;43;46;47;49;52;53;60;62;66;70
2021-11-12;4;6;8;10;14;25;30;39;40;46;49;53;54;57;58;60;61;67;69;70
2021-11-11;4;10;11;14;16;18;20;21;22;25;27;28;29;38;43;47;52;64;66;67
2021-11-10;2;10;13;14;21;22;23;24;26;34;35;39;47;51;58;63;64;65;67;70
2021-11-09;3;7;12;16;18;19;21;23;24;30;33;35;36;38;48;51;54;55;69;70
2021-11-08;2;11;13;18;19;20;29;35;36;37;38;41;42;48;50;51;57;60;63;68
2021-11-07;1;3;11;15;17;19;20;22;23;29;37;41;45;48;51;54;59;61;68;70
2021-11-06;6;13;14;15;18;27;28;31;38;41;44;46;48;52;54;56;59;61;64;69
2021-11-05;1;3;6;21;25;28;31;33;34;39;42;43;45;49;50;53;62;63;66;70
2021-11-04;4;6;7;17;21;22;24;25;37;38;39;40;43;44;50;51;53;60;61;70
2021-11-03;4;7;13;14;16;19;24;27;31;35;39;44;46;49;52;55;61;65;68;70
2021-11-02;1;2;8;16;17;22;23;26;30;38;39;40;42;48;49;50;54;60;61;66
2021-11-01;9;10;11;12;16;19;20;29;31;32;35;37;44;49;50;54;56;58;63;64
2021-10-31;2;12;14;15;21;27;32;34;38;41;42;52;53;55;57;59;61;64;66;67
2021-10-30;1;4;5;13;16;23;24;25;27;33;34;37;43;50;53;58;63;67;68;70
2021-10-29;4;7;9;10;12;15;20;23;24;32;33;36;48;49;51;52;56;60;61;67
2021-10-28;1;3;5;11;12;17;19;24;33;36;41;47;50;53;57;58;59;60;67;70
2021-10-27;1;3;4;8;9;11;13;15;22;27;28;33;37;38;39;41;53;54;65;68
2021-10-26;4;8;12;14;15;16;18;28;32;42;46;47;48;50;51;53;54;59;63;65
2021-10-25;1;5;8;20;23;24;30;38;40;42;48;49;52;55;57;60;61;63;64;66
2021-10-24;6;8;13;14;19;22;24;27;30;34;35;36;43;52;58;60;61;63;67;70
2021-10-23;8;9;10;11;17;24;26;30;31;35;37;40;44;45;46;50;52;54;66;69
2021-10-22;3;8;12;15;16;19;25;27;28;29;37;38;45;53;55;57;64;67;69;70
2021-10-21;8;9;16;19;25;33;35;36;43;46;47;48;49;56;57;58;59;60;66;69
2021-10-20;7;8;12;15;17;18;19;29;30;33;37;43;46;48;50;53;54;62;65;69
2021-10-19;7;10;15;17;19;21;24;30;33;35;38;39;41;43;45;52;55;56;58;62
2021-10-18;3;6;10;12;14;15;22;23;27;29;35;36;37;40;41;42;55;59;65;67
2021-10-17;2;3;4;5;6;8;9;10;17;18;21;22;25;26;30;36;38;43;47;57
2021-10-16;3;6;13;15;17;18;19;20;25;27;33;35;38;40;43;50;51;56;59;63
2021-10-15;2;9;11;12;13;18;19;23;28;30;37;38;40;43;46;47;48;49;53;54
2021-10-14;1;7;10;11;12;13;16;21;24;26;30;33;36;37;52;57;59;60;68;69
2021-10-13;1;13;14;20;21;28;33;34;40;41;45;46;47;51;56;57;60;61;66;67
2021-10-12;2;3;7;8;9;11;18;21;22;24;25;34;37;40;41;43;51;52;63;69
2021-10-11;1;2;3;4;5;11;25;27;28;30;38;40;42;43;47;48;58;65;69;70
2021-10-10;2;3;6;10;12;17;21;22;26;31;37;38;40;42;46;48;51;55;56;70
2021-10-09;4;5;10;11;14;16;18;21;30;35;41;53;54;55;56;57;60;61;66;68
2021-10-08;6;7;12;14;16;23;26;27;30;41;42;44;48;49;51;53;55;63;64;70
2021-10-07;2;5;6;7;12;14;16;24;26;27;31;37;42;47;57;58;64;65;66;67
2021-10-06;1;2;3;9;12;19;26;32;33;37;38;45;48;50;52;55;56;62;68;70
2021-10-05;1;2;5;6;10;14;16;20;22;28;30;31;38;39;49;51;59;62;63;69
2021-10-04;3;9;14;15;17;18;19;22;24;26;27;28;33;39;42;43;52;55;56;67
2021-10-03;12;13;15;16;17;34;39;43;50;51;55;56;57;58;59;64;66;67;69;70
2021-10-02;6;8;11;12;16;19;20;21;28;32;43;49;50;56;64;65;67;68;69;70
2021-10-01;2;7;8;13;15;16;17;23;25;30;31;35;43;47;50;58;60;61;63;66
2021-09-30;1;5;7;9;11;19;21;22;25;37;39;48;49;51;52;56;62;64;67;69
2021-09-29;1;9;11;13;14;15;17;19;22;24;25;27;33;44;45;56;58;62;65;70
