Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2006-12-30;2;10;12;19;20;21;30;33;34;36;40;44;47;48;50;52;70;73;77;79
2006-12-29;5;8;9;12;28;29;30;35;39;46;50;52;54;56;57;62;67;74;77;80
2006-12-28;1;7;16;19;23;27;28;30;31;34;36;38;53;54;57;64;65;67;74;76
2006-12-27;3;9;11;16;17;20;26;29;34;36;48;50;52;55;57;59;72;73;77;80
2006-12-26;2;10;27;33;35;36;37;39;41;43;44;53;56;59;61;62;65;68;73;78
2006-12-23;2;4;5;8;11;12;14;18;26;27;35;36;42;48;54;58;59;64;66;75
2006-12-22;1;3;5;7;10;23;28;29;31;34;35;41;43;44;51;52;66;71;76;77
2006-12-21;11;17;21;26;31;35;39;41;42;44;45;47;48;49;50;54;56;66;73;80
2006-12-20;1;7;9;13;16;21;24;28;31;33;34;45;57;66;68;71;72;73;76;77
2006-12-19;3;6;7;8;13;15;21;25;27;29;38;40;41;52;59;71;72;75;76;80
2006-12-18;4;8;12;22;27;29;34;35;38;42;44;45;49;51;52;55;63;69;70;71
2006-12-16;2;6;8;18;21;24;28;29;40;41;44;45;47;55;56;59;61;62;65;66
2006-12-15;6;9;17;24;26;28;30;33;36;40;42;47;50;51;55;62;63;67;69;78
2006-12-14;6;15;19;21;25;27;29;46;52;54;55;58;61;62;67;72;73;77;78;79
2006-12-13;4;5;13;18;28;30;32;33;36;39;43;45;52;53;55;59;60;61;67;68
2006-12-12;7;11;15;16;19;24;25;41;43;49;51;55;57;62;66;71;73;77;79;80
2006-12-11;1;5;21;23;28;30;33;43;44;47;54;56;57;61;63;64;66;71;78;80
2006-12-09;7;17;26;32;35;36;37;38;40;45;49;51;54;55;58;65;70;73;74;76
2006-12-08;3;6;8;11;13;14;18;26;35;42;45;47;48;52;57;59;61;62;72;74
2006-12-07;7;9;10;11;18;19;32;37;38;39;41;42;46;47;50;53;58;63;64;74
2006-12-06;2;4;10;14;19;24;25;26;30;33;38;44;48;49;53;57;60;67;68;77
2006-12-05;5;6;11;20;26;27;31;33;35;37;39;44;45;47;55;57;61;64;69;76
2006-12-04;3;5;6;8;19;29;31;33;40;41;43;47;48;51;55;58;60;66;68;69
2006-12-02;2;5;7;13;15;19;21;23;27;34;37;38;46;51;54;57;65;68;75;78
2006-12-01;3;8;9;18;22;26;31;36;38;42;46;49;52;55;56;58;62;73;78;79
2006-11-30;1;7;8;16;20;26;27;32;37;40;45;46;47;49;55;61;63;66;74;77
2006-11-29;3;6;13;19;22;26;31;34;37;39;48;50;52;53;62;64;70;72;77;79
2006-11-28;1;2;4;5;8;12;13;20;21;27;38;39;44;47;50;51;56;57;63;64
2006-11-27;1;5;6;8;14;17;26;35;41;52;54;64;65;66;67;73;76;77;78;79
2006-11-25;1;4;10;15;18;19;24;27;30;35;40;43;51;66;70;72;73;74;75;77
2006-11-24;10;15;17;20;21;24;26;33;35;45;48;50;56;64;65;66;67;70;76;78
2006-11-23;2;4;5;12;14;20;25;26;37;44;48;54;57;60;61;63;72;76;78;80
2006-11-22;2;9;10;11;20;25;36;42;45;56;59;63;65;69;71;73;75;76;77;78
2006-11-21;3;6;7;16;20;24;28;30;31;33;42;45;46;55;58;61;71;72;73;75
2006-11-20;1;6;7;9;13;23;25;28;40;43;48;49;56;57;58;62;69;71;77;79
2006-11-18;4;12;13;15;21;23;25;28;29;33;47;50;51;53;55;62;64;72;74;78
2006-11-17;3;7;9;14;21;23;28;36;38;41;42;46;49;51;54;56;60;66;67;69
2006-11-16;2;4;9;14;15;27;30;32;35;51;55;56;61;65;68;70;75;78;79;80
2006-11-15;4;15;19;21;22;27;28;30;37;40;50;51;54;61;63;64;66;68;72;76
2006-11-14;1;8;10;17;22;26;35;40;42;44;46;50;51;57;59;67;70;71;77;79
2006-11-13;5;9;13;18;22;25;27;28;29;30;35;52;57;58;60;66;69;71;78;79
2006-11-10;8;12;13;24;25;26;34;38;39;48;52;53;54;57;63;64;68;74;77;80
2006-11-09;3;6;9;15;16;18;22;23;24;30;36;38;43;48;49;54;55;72;75;76
2006-11-08;1;3;6;11;16;17;23;24;40;42;49;50;51;52;54;59;63;67;72;73
2006-11-07;4;5;11;17;20;30;36;39;44;49;50;53;60;61;66;68;72;75;76;78
2006-11-06;1;3;4;8;10;12;17;18;21;25;27;30;34;37;38;42;60;73;74;78
2006-11-04;5;9;11;15;21;26;31;35;36;42;46;47;48;51;63;68;69;74;75;76
2006-11-03;4;6;10;15;17;18;25;28;32;35;36;40;42;50;54;60;66;69;75;78
2006-11-02;6;9;11;13;19;20;25;32;36;51;55;56;57;67;68;70;72;73;74;76
2006-10-31;7;10;17;19;29;42;43;44;47;49;53;56;57;71;72;73;74;75;76;80
2006-10-30;3;16;17;19;22;28;29;31;33;39;47;48;52;55;62;63;69;73;77;80
2006-10-28;1;9;12;25;26;27;28;29;30;41;42;43;48;60;61;66;68;69;78;79
2006-10-27;6;7;8;13;23;25;31;32;35;44;49;52;53;54;61;69;73;76;77;79
2006-10-26;3;5;7;8;11;14;16;23;25;32;34;42;44;45;46;54;59;61;70;78
2006-10-25;5;7;11;17;19;20;24;30;32;35;38;43;51;54;56;59;63;68;77;79
2006-10-24;5;7;9;12;17;21;22;28;33;37;45;48;57;58;60;67;68;70;73;79
2006-10-23;1;10;11;13;18;24;30;42;45;48;51;57;59;62;65;70;72;74;76;79
2006-10-21;3;8;11;13;19;20;22;29;31;50;51;54;56;59;63;64;69;73;74;79
2006-10-20;1;4;7;10;21;22;29;34;36;37;38;39;41;44;50;52;64;69;74;77
2006-10-19;8;11;14;20;21;32;33;39;40;41;42;50;51;59;63;64;72;74;76;78
2006-10-18;3;5;17;20;27;31;32;36;37;50;51;53;54;56;58;59;60;66;75;79
2006-10-17;2;3;7;9;10;12;17;24;26;28;29;31;34;45;49;51;52;57;60;65
2006-10-16;5;11;16;20;21;27;35;36;37;39;42;48;51;55;58;65;70;74;76;77
2006-10-14;7;8;21;26;27;30;31;37;39;42;46;48;51;65;67;71;74;75;78;80
2006-10-13;1;2;8;9;19;25;28;31;32;38;43;46;53;63;64;66;70;77;78;80
2006-10-12;4;11;15;20;27;29;34;39;45;46;47;49;63;67;68;70;71;75;76;79
2006-10-11;6;10;13;16;18;22;23;24;30;31;36;37;38;42;47;53;55;60;78;79
2006-10-10;9;10;15;32;35;37;43;45;49;51;54;60;62;65;68;71;75;76;77;78
2006-10-09;6;11;12;13;17;28;38;43;44;49;57;63;65;67;68;70;74;75;79;80
2006-10-07;1;6;10;11;16;17;18;20;23;33;40;41;50;54;55;57;60;70;77;80
2006-10-06;1;2;8;11;12;26;27;34;35;39;40;53;55;56;57;59;62;76;78;80
2006-10-05;4;17;21;22;28;33;38;40;41;43;44;48;51;59;69;71;73;74;78;79
2006-10-04;1;2;9;12;20;23;25;26;28;29;40;46;48;51;53;64;66;68;74;75
2006-10-03;7;8;9;13;14;16;21;22;28;29;34;36;39;43;44;49;56;60;65;69
2006-10-02;2;5;9;10;13;22;24;26;29;38;39;43;46;53;54;63;67;72;73;74
2006-09-30;5;13;18;21;22;23;28;29;30;32;41;44;46;58;64;66;67;71;78;79
2006-09-29;3;5;15;16;22;24;26;40;43;44;48;50;51;55;60;61;63;69;70;75
2006-09-28;1;3;6;12;20;28;30;34;36;42;44;48;57;62;66;67;68;73;74;75
