Datum;Nummer 1;Nummer 2;Nummer 3
2007-12-31;8;7;6
2007-12-29;2;4;7
2007-12-28;1;8;0
2007-12-27;1;3;4
2007-12-26;2;5;8
2007-12-24;0;6;2
2007-12-22;3;7;8
2007-12-21;3;4;1
2007-12-20;4;4;7
2007-12-19;3;6;7
2007-12-18;8;9;2
2007-12-17;6;7;1
2007-12-15;7;0;8
2007-12-14;8;3;1
2007-12-13;5;6;5
2007-12-12;5;4;1
2007-12-11;8;9;8
2007-12-10;8;5;7
2007-12-08;6;3;4
2007-12-07;8;3;8
2007-12-06;2;7;4
2007-12-05;8;8;2
2007-12-04;0;3;8
2007-12-03;7;2;2
2007-12-01;8;8;8
2007-11-30;0;0;0
2007-11-29;3;9;1
2007-11-28;1;7;7
2007-11-27;6;6;6
2007-11-26;6;6;3
2007-11-24;0;4;8
2007-11-23;4;3;0
2007-11-22;9;9;0
2007-11-21;7;8;7
2007-11-20;8;4;6
2007-11-19;0;6;5
2007-11-17;8;4;2
2007-11-16;9;6;1
2007-11-15;4;2;9
2007-11-14;0;8;1
2007-11-13;8;9;8
2007-11-12;5;6;0
2007-11-10;6;5;4
2007-11-09;7;7;9
2007-11-08;4;5;1
2007-11-07;2;0;7
2007-11-06;2;7;5
2007-11-05;0;7;4
2007-11-03;8;1;9
2007-11-02;3;4;0
2007-10-31;2;6;1
2007-10-30;2;4;6
2007-10-29;9;7;6
2007-10-27;0;7;8
2007-10-26;1;9;9
2007-10-25;9;3;6
2007-10-24;3;2;5
2007-10-23;5;6;5
2007-10-22;8;6;1
2007-10-20;8;7;0
2007-10-19;5;2;2
2007-10-18;5;6;7
2007-10-17;8;2;3
2007-10-16;7;8;4
2007-10-15;4;7;3
2007-10-13;9;3;4
2007-10-12;3;4;1
2007-10-11;2;1;6
2007-10-10;0;8;3
2007-10-09;2;3;4
2007-10-08;8;8;6
2007-10-06;5;0;9
2007-10-05;8;5;6
2007-10-04;9;3;3
2007-10-03;8;9;9
2007-10-02;0;6;4
2007-10-01;5;1;3
2007-09-29;6;0;2
2007-09-28;1;7;0
2007-09-27;5;5;2
2007-09-26;9;3;8
2007-09-25;4;7;4
2007-09-24;3;5;9
2007-09-22;0;5;2
2007-09-21;3;7;8
2007-09-20;1;8;6
2007-09-19;6;1;5
2007-09-18;5;4;4
2007-09-17;5;4;7
2007-09-15;8;1;8
2007-09-14;0;4;3
2007-09-13;3;3;9
2007-09-12;9;7;3
2007-09-11;4;0;8
2007-09-10;6;8;4
2007-09-08;8;1;5
2007-09-07;7;7;8
2007-09-06;8;6;5
2007-09-05;4;0;4
2007-09-04;9;3;2
2007-09-03;2;1;4
2007-09-01;0;1;0
2007-08-31;5;0;9
2007-08-30;3;7;6
2007-08-29;4;8;1
2007-08-28;2;8;5
2007-08-27;0;6;4
2007-08-25;1;9;9
2007-08-24;2;9;5
2007-08-23;7;0;0
2007-08-22;1;2;8
2007-08-21;4;8;8
2007-08-20;1;7;1
2007-08-18;2;4;0
2007-08-17;6;7;5
2007-08-16;0;3;6
2007-08-14;7;7;5
2007-08-13;7;3;8
2007-08-11;6;0;1
2007-08-10;3;2;2
2007-08-09;3;6;7
2007-08-08;9;4;8
2007-08-07;7;2;1
2007-08-06;0;7;0
2007-08-04;2;1;9
2007-08-03;3;0;9
2007-08-02;1;1;9
