Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Sterrenbeeld
2020-12-31;3;4;0;6;9;8;Kreeft
2020-12-30;8;5;5;2;9;6;Leeuw
2020-12-29;7;2;0;7;3;6;Stier
2020-12-28;5;4;8;2;4;1;Leeuw
2020-12-27;3;6;6;6;0;8;Weegschaal
2020-12-26;7;9;1;1;4;7;Stier
2020-12-25;2;4;6;1;8;5;Boogschutter
2020-12-24;4;9;5;4;7;1;Steenbok
2020-12-23;0;4;7;6;8;2;Kreeft
2020-12-22;2;3;3;5;9;1;Ram
2020-12-21;7;7;6;2;0;4;Steenbok
2020-12-20;1;3;7;7;7;7;Leeuw
2020-12-19;5;9;7;3;7;8;Ram
2020-12-18;0;2;9;5;1;7;Leeuw
2020-12-17;6;0;0;8;0;1;Maagd
2020-12-16;5;9;1;1;4;9;Boogschutter
2020-12-15;4;6;8;6;8;8;Stier
2020-12-14;8;8;4;5;4;4;Ram
2020-12-13;8;7;7;0;3;8;Steenbok
2020-12-12;9;5;6;5;0;9;Steenbok
2020-12-11;1;0;7;8;7;8;Weegschaal
2020-12-10;5;0;8;1;9;9;Leeuw
2020-12-09;8;5;2;7;1;2;Vissen
2020-12-08;3;8;2;6;5;3;Stier
2020-12-07;0;0;1;9;0;5;Vissen
2020-12-06;6;4;3;0;2;2;Leeuw
2020-12-05;9;9;5;8;2;7;Waterman
2020-12-04;2;9;4;1;5;4;Ram
2020-12-03;2;8;3;1;0;3;Kreeft
2020-12-02;1;0;7;0;7;9;Kreeft
2020-12-01;5;6;4;1;8;5;Schorpioen
2020-11-30;5;8;1;1;6;5;Kreeft
2020-11-29;4;2;1;8;7;4;Maagd
2020-11-28;4;1;7;9;4;3;Weegschaal
2020-11-27;7;6;2;2;4;6;Weegschaal
2020-11-26;3;4;3;0;5;3;Ram
2020-11-25;5;6;3;6;9;1;Vissen
2020-11-24;6;4;1;4;8;8;Steenbok
2020-11-23;7;5;9;3;4;9;Vissen
2020-11-22;3;2;8;8;8;6;Schorpioen
2020-11-21;9;8;3;8;3;1;Maagd
2020-11-20;6;3;3;3;0;3;Leeuw
2020-11-19;2;9;6;0;5;9;Maagd
2020-11-18;8;5;2;5;4;5;Maagd
2020-11-17;7;0;8;8;3;9;Leeuw
2020-11-16;2;8;4;0;1;2;Schorpioen
2020-11-15;5;3;8;6;6;0;Tweeling
2020-11-14;4;4;4;4;1;2;Vissen
2020-11-13;8;0;0;0;7;9;Weegschaal
2020-11-12;9;9;9;5;6;5;Ram
2020-11-11;9;3;1;9;0;8;Maagd
2020-11-10;2;9;3;2;3;5;Boogschutter
2020-11-09;8;5;0;3;7;5;Schorpioen
2020-11-08;9;1;3;7;3;7;Maagd
2020-11-07;3;8;7;3;1;9;Maagd
2020-11-06;1;0;2;7;8;9;Tweeling
2020-11-05;9;3;6;8;5;4;Maagd
2020-11-04;7;3;7;6;8;0;Leeuw
2020-11-03;8;0;3;2;3;4;Tweeling
2020-11-02;9;7;8;8;6;5;Ram
2020-11-01;5;5;7;0;9;8;Steenbok
2020-10-31;7;2;3;1;6;9;Vissen
2020-10-30;8;3;2;8;9;1;Leeuw
2020-10-29;3;8;2;4;1;8;Ram
2020-10-28;4;9;3;8;5;2;Weegschaal
2020-10-27;4;3;4;1;1;8;Leeuw
2020-10-26;0;0;8;4;9;3;Kreeft
2020-10-25;2;6;2;7;8;0;Kreeft
2020-10-24;3;1;6;2;9;0;Ram
2020-10-23;6;9;1;6;5;1;Maagd
2020-10-22;7;7;4;5;3;7;Waterman
2020-10-21;1;5;6;4;2;9;Ram
2020-10-20;2;0;7;3;4;4;Ram
2020-10-19;7;2;9;3;4;7;Schorpioen
2020-10-18;4;8;4;3;9;9;Vissen
2020-10-17;4;5;1;7;5;1;Maagd
2020-10-16;2;8;0;6;5;2;Weegschaal
2020-10-15;6;8;3;9;9;4;Waterman
2020-10-14;4;3;8;3;9;4;Kreeft
2020-10-13;1;5;7;3;9;9;Vissen
2020-10-12;9;9;2;8;8;6;Maagd
2020-10-11;5;1;4;4;7;8;Stier
2020-10-10;4;0;9;4;2;4;Maagd
2020-10-09;2;8;4;1;0;5;Weegschaal
2020-10-08;5;0;0;7;6;5;Boogschutter
2020-10-07;6;7;4;5;3;2;Schorpioen
2020-10-06;1;3;1;4;6;5;Leeuw
2020-10-05;4;9;2;4;0;2;Steenbok
2020-10-04;9;5;1;5;6;1;Boogschutter
2020-10-03;7;6;0;8;3;3;Tweeling
2020-10-02;9;5;1;5;5;9;Schorpioen
2020-10-01;4;0;0;5;3;2;Schorpioen
2020-09-30;5;8;6;9;4;8;Boogschutter
2020-09-29;6;7;2;5;1;7;Weegschaal
2020-09-28;8;5;0;1;5;9;Maagd
2020-09-27;4;1;2;4;4;2;Weegschaal
2020-09-26;5;7;8;5;5;1;Weegschaal
2020-09-25;7;7;9;4;2;0;Weegschaal
2020-09-24;6;8;0;5;7;7;Maagd
2020-09-23;2;9;1;9;0;9;Leeuw
2020-09-22;5;6;2;5;6;7;Tweeling
2020-09-21;3;0;5;6;0;2;Waterman
2020-09-20;4;9;0;9;5;6;Waterman
2020-09-19;1;3;3;6;5;6;Steenbok
2020-09-18;9;1;7;0;6;5;Ram
2020-09-17;7;3;2;4;6;6;Tweeling
2020-09-16;1;6;8;8;5;7;Weegschaal
2020-09-15;4;8;2;0;0;8;Boogschutter
2020-09-14;1;4;0;7;0;0;Boogschutter
2020-09-13;3;9;3;6;1;9;Leeuw
2020-09-12;3;1;6;7;8;6;Waterman
2020-09-11;6;4;1;8;5;3;Schorpioen
2020-09-10;6;3;9;6;3;4;Maagd
2020-09-09;3;1;6;2;0;5;Leeuw
2020-09-08;0;9;2;5;0;2;Tweeling
2020-09-07;3;9;5;3;6;3;Maagd
2020-09-06;4;0;0;0;8;4;Tweeling
2020-09-05;3;6;1;4;5;4;Steenbok
2020-09-04;4;4;7;3;0;4;Boogschutter
2020-09-03;1;9;5;4;3;2;Stier
2020-09-02;5;8;7;9;9;9;Weegschaal
2020-09-01;5;0;9;4;6;0;Stier
2020-08-31;4;1;5;2;2;2;Stier
2020-08-30;7;9;3;1;0;4;Maagd
2020-08-29;7;2;6;3;9;7;Leeuw
2020-08-28;0;3;6;6;5;6;Schorpioen
2020-08-27;6;5;3;4;9;8;Leeuw
2020-08-26;6;1;3;1;5;5;Maagd
2020-08-25;5;7;7;1;5;2;Weegschaal
2020-08-24;8;3;9;8;2;7;Weegschaal
2020-08-23;4;5;1;9;7;1;Kreeft
2020-08-22;5;8;8;7;4;9;Steenbok
2020-08-21;7;1;2;9;7;2;Leeuw
2020-08-20;9;9;6;0;7;5;Weegschaal
2020-08-19;7;4;9;5;0;5;Ram
2020-08-18;1;6;9;1;9;2;Weegschaal
2020-08-17;1;2;1;6;2;0;Ram
2020-08-16;1;0;8;3;2;8;Boogschutter
2020-08-15;3;6;5;5;0;9;Kreeft
2020-08-14;7;0;6;1;0;0;Ram
2020-08-13;3;8;5;4;5;2;Ram
2020-08-12;1;7;6;4;5;6;Kreeft
2020-08-11;4;6;9;7;5;0;Vissen
2020-08-10;9;4;8;8;1;4;Kreeft
2020-08-09;5;3;6;4;8;7;Weegschaal
