Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Sterrenbeeld
2014-12-31;6;2;5;9;8;6;Stier
2014-12-30;4;8;3;4;1;4;Boogschutter
2014-12-27;5;6;0;0;5;4;Kreeft
2014-12-26;2;6;5;2;3;6;Vissen
2014-12-24;7;6;3;1;5;2;Maagd
2014-12-23;6;7;2;1;8;3;Leeuw
2014-12-20;5;7;0;4;3;3;Waterman
2014-12-19;1;6;6;5;6;6;Stier
2014-12-17;7;9;8;1;2;2;Vissen
2014-12-16;9;9;5;0;9;2;Schorpioen
2014-12-13;3;1;0;2;0;5;Boogschutter
2014-12-12;3;0;7;8;7;5;Maagd
2014-12-10;5;6;4;1;9;6;Tweeling
2014-12-09;8;3;1;1;2;2;Kreeft
2014-12-06;4;7;2;5;4;5;Kreeft
2014-12-05;4;2;2;0;0;6;Weegschaal
2014-12-03;3;5;9;4;0;1;Weegschaal
2014-12-02;3;4;8;2;0;6;Stier
2014-11-29;4;2;7;6;2;7;Leeuw
2014-11-28;7;7;6;0;0;3;Kreeft
2014-11-26;8;2;8;2;3;0;Stier
2014-11-25;7;2;9;0;7;4;Vissen
2014-11-22;7;2;3;4;2;8;Boogschutter
2014-11-21;0;7;1;4;7;6;Vissen
2014-11-19;6;4;5;5;9;6;Vissen
2014-11-18;9;6;7;9;8;8;Waterman
2014-11-15;4;1;7;6;5;7;Kreeft
2014-11-14;1;7;7;3;8;4;Weegschaal
2014-11-12;1;9;9;5;7;4;Maagd
2014-11-11;5;6;0;1;2;2;Boogschutter
2014-11-08;3;1;4;7;9;6;Leeuw
2014-11-07;3;0;3;3;7;0;Stier
2014-11-05;9;5;6;2;0;1;Leeuw
2014-11-04;8;7;1;3;1;3;Boogschutter
2014-11-01;1;8;1;7;1;1;Leeuw
2014-10-31;7;2;6;7;5;8;Ram
2014-10-29;8;7;3;7;2;3;Vissen
2014-10-28;0;4;9;8;6;5;Steenbok
2014-10-25;5;1;5;2;3;3;Waterman
2014-10-24;4;7;2;3;1;4;Stier
2014-10-22;6;1;6;9;7;6;Schorpioen
2014-10-21;7;5;5;4;6;5;Leeuw
2014-10-18;4;5;9;1;6;7;Kreeft
2014-10-17;6;0;0;2;3;1;Kreeft
2014-10-15;3;7;2;5;8;3;Kreeft
2014-10-14;1;3;5;4;5;7;Ram
2014-10-11;9;4;4;9;1;3;Boogschutter
2014-10-10;9;8;3;2;9;4;Ram
2014-10-08;7;1;2;8;6;3;Stier
2014-10-07;5;3;8;5;5;7;Boogschutter
2014-10-04;6;5;3;3;9;2;Schorpioen
2014-10-03;1;3;2;0;5;6;Schorpioen
2014-10-01;4;2;4;7;0;3;Waterman
2014-09-30;4;6;9;1;0;1;Boogschutter
2014-09-27;8;7;0;1;4;1;Waterman
2014-09-26;4;9;4;4;2;7;Boogschutter
2014-09-24;8;7;2;2;4;5;Maagd
2014-09-23;2;4;8;6;8;2;Leeuw
2014-09-20;9;4;1;3;6;4;Weegschaal
2014-09-19;3;8;1;5;3;6;Vissen
2014-09-17;7;2;2;9;9;9;Kreeft
2014-09-16;7;3;2;9;4;8;Vissen
2014-09-13;4;0;0;4;4;3;Maagd
2014-09-12;1;0;1;3;7;9;Stier
