Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
1999-12-29;1;9;25;34;38;40;13
1999-12-25;9;14;16;29;31;39;12
1999-12-22;12;14;22;24;30;42;2
1999-12-18;4;8;13;18;23;40;5
1999-12-15;4;11;18;19;24;29;2
1999-12-11;8;15;22;24;25;34;19
1999-12-08;7;13;21;32;36;38;6
1999-12-04;5;11;26;30;32;39;15
1999-12-01;12;16;21;25;31;41;4
1999-11-27;1;2;6;20;27;42;24
1999-11-24;13;17;18;19;23;28;15
1999-11-20;12;13;18;37;41;42;38
1999-11-17;1;8;16;25;32;37;41
1999-11-13;16;17;23;28;32;41;36
1999-11-10;16;18;20;30;33;42;3
1999-11-06;2;11;16;18;24;37;23
1999-11-03;4;14;16;33;34;35;13
1999-10-30;18;24;25;26;34;35;36
1999-10-27;6;12;19;29;34;38;42
1999-10-23;16;20;23;34;37;39;17
1999-10-20;1;2;8;21;24;28;32
1999-10-16;24;27;36;38;41;42;21
1999-10-13;2;4;5;13;29;35;34
1999-10-09;4;14;16;18;33;34;41
1999-10-06;7;11;18;30;38;42;9
1999-10-02;6;9;12;22;34;35;40
1999-09-29;10;19;24;29;41;42;25
1999-09-25;7;8;10;15;31;34;41
1999-09-22;3;13;16;28;30;33;34
1999-09-18;5;6;12;18;28;29;21
1999-09-15;4;9;13;17;21;41;40
1999-09-11;5;11;18;34;37;38;3
1999-09-08;5;6;7;16;30;37;34
1999-09-04;2;15;19;23;36;39;42
1999-09-01;3;4;13;15;25;38;33
1999-08-28;3;11;14;29;30;41;9
1999-08-25;6;23;25;27;29;36;31
1999-08-21;14;18;30;34;39;42;16
1999-08-18;13;17;21;30;36;39;24
1999-08-14;7;13;23;24;28;37;5
1999-08-11;2;6;9;21;39;41;11
1999-08-07;3;13;24;27;28;38;7
1999-08-04;6;9;24;33;36;42;18
1999-07-31;2;3;7;13;16;40;42
1999-07-28;13;16;23;29;35;37;38
1999-07-24;11;12;16;23;24;35;2
1999-07-21;7;14;25;34;36;38;6
1999-07-17;5;6;7;29;38;41;17
1999-07-14;10;11;13;15;23;42;5
1999-07-10;9;10;17;24;26;41;22
1999-07-07;1;7;9;12;16;22;4
1999-07-03;1;2;14;24;31;32;35
1999-06-30;8;16;22;27;29;39;12
1999-06-26;16;20;21;31;33;41;11
1999-06-23;13;16;25;27;40;41;33
1999-06-19;6;7;13;17;26;32;29
1999-06-16;4;21;23;25;27;39;10
1999-06-12;10;12;15;22;33;34;31
1999-06-09;2;14;15;27;30;36;7
1999-06-05;9;10;12;17;19;38;14
1999-06-02;3;4;20;25;34;41;18
1999-05-29;1;10;17;21;27;33;42
1999-05-26;5;21;22;26;27;33;23
1999-05-22;1;4;6;12;36;40;34
1999-05-19;3;8;12;23;32;42;17
1999-05-15;6;10;14;18;32;38;16
1999-05-12;20;23;25;31;33;42;24
1999-05-08;2;20;21;35;36;41;16
1999-05-05;1;6;21;22;32;35;41
1999-05-01;12;16;23;28;33;36;19
1999-04-28;10;14;15;17;18;42;31
1999-04-24;1;9;22;32;33;40;36
1999-04-21;14;19;21;27;35;41;24
1999-04-17;2;9;13;22;31;38;26
1999-04-14;6;24;29;34;40;42;20
1999-04-10;6;10;13;15;33;36;9
1999-04-07;1;10;18;30;34;41;5
1999-04-03;4;10;18;22;29;41;30
1999-03-31;4;18;30;31;35;40;9
1999-03-27;1;5;12;27;33;35;36
1999-03-24;6;10;17;21;31;36;24
1999-03-20;10;17;20;23;24;28;19
1999-03-17;2;14;16;24;36;37;12
1999-03-13;3;20;29;31;33;35;13
1999-03-10;2;12;13;25;30;34;27
1999-03-06;3;14;15;19;24;27;16
1999-03-03;6;21;22;28;32;38;12
1999-02-27;2;3;23;30;31;42;40
1999-02-24;3;24;26;32;33;37;20
1999-02-20;1;11;21;22;27;41;34
1999-02-17;3;4;7;9;32;37;25
1999-02-13;3;17;21;33;34;42;36
1999-02-10;4;13;19;21;29;37;40
1999-02-06;2;5;12;22;26;40;13
1999-02-03;6;8;9;13;29;31;37
1999-01-30;18;25;31;34;37;42;5
1999-01-27;9;12;17;21;24;31;5
1999-01-23;10;11;12;24;31;36;22
1999-01-20;6;9;14;28;33;41;32
1999-01-16;18;20;37;38;39;42;4
1999-01-13;12;16;24;28;31;34;14
1999-01-09;5;6;14;16;31;38;10
1999-01-06;12;15;18;29;32;33;25
1999-01-02;3;9;27;28;34;37;22
