Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
1996-12-28;5;29;32;35;36;38;31
1996-12-25;2;8;18;21;28;42;14
1996-12-21;8;11;22;28;30;33;41
1996-12-18;1;4;9;23;26;33;30
1996-12-14;12;23;30;34;37;42;24
1996-12-11;10;18;21;24;41;42;27
1996-12-07;12;14;20;31;35;40;26
1996-12-04;3;23;24;31;32;39;22
1996-11-30;3;5;19;20;26;27;14
1996-11-27;4;6;12;14;24;35;23
1996-11-23;1;14;17;18;30;31;3
1996-11-20;4;7;15;16;25;40;12
1996-11-16;3;5;32;36;37;39;12
1996-11-13;5;12;27;35;38;40;29
1996-11-09;3;6;9;11;23;35;4
1996-11-06;1;9;19;23;27;41;18
1996-11-02;7;8;21;24;26;39;23
1996-10-30;11;20;35;40;41;42;32
1996-10-26;6;12;24;28;36;40;15
1996-10-23;2;3;19;20;25;29;32
1996-10-19;3;5;25;26;27;33;16
1996-10-16;5;14;20;26;40;42;24
1996-10-12;4;10;14;22;23;32;26
1996-10-09;16;19;22;25;36;41;31
1996-10-05;13;14;15;17;18;19;35
1996-10-02;2;3;10;15;18;29;26
1996-09-28;1;8;22;29;31;32;10
1996-09-25;2;8;14;17;21;26;10
1996-09-21;1;15;26;28;31;37;2
1996-09-18;19;20;21;26;28;37;25
1996-09-14;4;9;23;28;35;38;27
1996-09-11;1;7;16;21;28;37;4
1996-09-07;1;7;8;11;22;24;34
1996-09-04;9;14;17;23;28;37;1
1996-08-31;6;24;27;33;40;42;21
1996-08-28;5;7;16;20;22;37;39
1996-08-24;19;26;30;31;39;42;1
1996-08-21;15;20;23;27;34;40;24
1996-08-17;2;13;16;20;25;36;29
1996-08-14;14;17;21;31;32;36;8
1996-08-10;1;10;20;21;33;41;15
1996-08-07;10;17;24;37;38;39;8
1996-08-03;15;24;28;31;32;35;37
1996-07-31;9;12;14;16;24;38;21
1996-07-27;10;17;20;27;31;37;4
1996-07-24;4;11;20;35;39;42;22
1996-07-20;2;4;25;27;34;36;16
1996-07-17;2;10;24;28;39;42;37
1996-07-13;6;11;18;32;35;39;34
1996-07-10;2;11;16;18;23;33;20
1996-07-06;2;13;20;25;30;31;6
1996-07-03;15;19;20;26;37;40;23
1996-06-29;2;4;8;14;19;26;37
1996-06-26;15;16;21;22;23;34;11
1996-06-22;5;6;23;27;31;41;33
1996-06-19;2;14;18;32;41;42;26
1996-06-15;9;10;12;16;24;25;22
1996-06-12;10;25;36;38;39;40;35
1996-06-08;2;7;25;28;40;42;19
1996-06-05;4;14;16;21;26;32;9
1996-06-01;3;13;15;24;32;34;41
1996-05-29;3;9;24;25;38;40;41
1996-05-25;4;5;12;13;23;25;7
1996-05-22;1;7;21;23;31;39;17
1996-05-18;2;13;23;27;32;36;33
1996-05-15;1;7;9;13;14;42;2
1996-05-11;10;17;19;26;27;32;33
1996-05-08;6;11;20;29;31;32;39
1996-05-04;10;15;26;27;37;39;41
1996-05-01;2;5;6;11;26;39;27
1996-04-27;18;21;22;30;34;36;13
1996-04-24;1;7;14;16;27;28;9
1996-04-20;9;11;14;17;29;40;18
1996-04-17;1;2;7;12;13;26;18
1996-04-13;10;12;20;23;30;31;22
1996-04-10;7;8;18;23;25;31;4
1996-04-06;11;23;24;25;26;36;3
1996-04-03;1;6;7;16;22;40;34
1996-03-30;2;11;21;28;31;40;9
1996-03-27;1;14;17;19;22;31;26
1996-03-23;2;11;30;33;39;41;8
1996-03-20;2;9;12;25;27;31;23
1996-03-16;3;16;26;32;36;37;34
1996-03-13;7;9;15;21;29;36;30
1996-03-09;3;7;20;26;30;41;9
1996-03-06;5;22;24;29;32;33;25
1996-03-02;11;22;23;32;33;35;19
1996-02-28;10;15;16;26;28;34;19
1996-02-24;8;14;19;22;24;25;27
1996-02-21;1;3;17;19;23;32;21
1996-02-17;4;13;20;31;34;36;12
1996-02-14;3;6;14;31;40;42;7
1996-02-10;7;8;9;22;25;42;2
1996-02-07;2;4;7;21;33;36;41
1996-02-03;2;4;5;17;20;31;39
1996-01-31;5;22;23;25;27;30;29
1996-01-27;2;4;17;30;34;36;39
1996-01-24;1;4;7;21;27;30;20
1996-01-20;3;4;10;16;29;38;40
1996-01-17;17;23;31;32;35;36;13
1996-01-13;6;13;20;21;25;30;31
1996-01-10;2;4;21;24;26;31;17
1996-01-06;2;17;21;24;34;41;9
1996-01-03;6;14;21;22;33;37;40
