Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2026-02-18;9;10;14;28;34;41;4
2026-02-14;17;20;22;24;26;30;32
2026-02-11;3;9;10;12;26;40;27
2026-02-07;12;21;22;25;30;32;38
2026-02-04;9;13;15;20;23;26;19
2026-01-31;2;5;26;28;34;42;30
2026-01-28;3;8;11;20;23;31;7
2026-01-24;2;9;15;23;28;32;12
2026-01-21;4;10;17;20;24;31;21
2026-01-17;9;13;17;23;44;45;7
2026-01-14;13;27;28;32;37;38;17
2026-01-10;5;32;39;41;44;45;11
2026-01-07;4;6;17;25;36;39;14
2026-01-03;4;9;17;23;37;40;27
